,Submarket,Housing_Type,Cluster
140,Mecklenburg County 29 (NC), Single Family,1
141,Mecklenburg County 12 (NC), Single Family,3
142,Davidson, Single Family,3
143,Mecklenburg County 34 (NC), Single Family,3
144,Mecklenburg County 9 (NC), Single Family,3
145,Huntersville, Single Family,2
146,Huntersville, Single Family,2
147,Huntersville, Single Family,2
148,Mecklenburg County 6 (NC), Single Family,3
149,Mecklenburg County 36 (NC), Townhouse,1
150,Mecklenburg County 36 (NC), Townhouse,1
151,Mecklenburg County 36 (NC), Townhouse,1
152,Mecklenburg County 36 (NC), Townhouse,1
153,Mecklenburg County 36 (NC), Townhouse,1
154,Mecklenburg County 36 (NC), Townhouse,1
155,Huntersville, Single Family,2
156,Huntersville, Single Family,2
157,Mecklenburg County 28 (NC), Single Family,3
158,Mecklenburg County 34 (NC), Single Family,3
159,Mecklenburg County 20 (NC), Single Family,3
160,Mecklenburg County 20 (NC), Single Family,3
161,Mecklenburg County 20 (NC), Single Family,3
162,Mecklenburg County 11 (NC), Single Family,3
163,Mecklenburg County 15 (NC), Single Family,3
164,Mecklenburg County 27 (NC), Single Family,3
165,Mecklenburg County 27 (NC), Single Family,3
166,Mecklenburg County 19 (NC), Single Family,3
167,Mecklenburg County 19 (NC), Single Family,3
168,Mecklenburg County 19 (NC), Condominium,4
169,Mecklenburg County 19 (NC), Condominium,4
170,Mecklenburg County 18 (NC), Single Family,3
171,Mecklenburg County 19 (NC), Townhouse,1
172,Mecklenburg County 19 (NC), Townhouse,1
173,Mecklenburg County 19 (NC), Townhouse,1
174,Pineville, Townhouse,1
175,Mecklenburg County 22 (NC), Condominium,4
176,Huntersville, Single Family,2
177,Huntersville, Single Family,2
178,Mecklenburg County 29 (NC), Single Family,1
179,Mecklenburg County 15 (NC), Single Family,3
180,Mecklenburg County 15 (NC), Single Family,3
181,Huntersville, Single Family,2
182,Cornelius, Single Family,4
183,Cornelius, Single Family,4
184,Mecklenburg County 29 (NC), Single Family,1
185,Mecklenburg County 29 (NC), Single Family,1
186,Mecklenburg County 7 (NC), Single Family,3
187,Mecklenburg County 23 (NC), Single Family,3
188,Mecklenburg County 15 (NC), Single Family,3
189,Huntersville, Single Family,2
190,Huntersville, Single Family,2
191,Mecklenburg County 11 (NC), Single Family,3
192,Mecklenburg County 11 (NC), Single Family,3
193,Davidson, Single Family,3
194,Mecklenburg County 15 (NC), Single Family,3
195,Charlotte, Single Family,3
196,Mecklenburg County 36 (NC), Single Family,3
197,Mecklenburg County 9 (NC), Single Family,3
198,Mecklenburg County 16 (NC), Condominium,4
199,Mecklenburg County 36 (NC), Townhouse,1
200,Mecklenburg County 29 (NC), Single Family,1
201,Mecklenburg County 28 (NC), Single Family,3
202,Mecklenburg County 28 (NC), Single Family,3
203,Mecklenburg County 36 (NC), Single Family,3
204,Matthews, Single Family,3
205,Mecklenburg County 13 (NC), Single Family,3
206,Mecklenburg County 12 (NC), Condominium,4
207,Mecklenburg County 12 (NC), Condominium,4
208,Mecklenburg County 8 (NC), Single Family,3
209,Mecklenburg County 8 (NC), Single Family,3
210,Mecklenburg County 29 (NC), Single Family,1
211,Mecklenburg County 25 (NC), Single Family,3
212,Mecklenburg County 23 (NC), Single Family,3
213,Mecklenburg County 28 (NC), Single Family,3
214,Mecklenburg County 4 (NC), Single Family,3
215,Mecklenburg County 16 (NC), Single Family,3
216,Mecklenburg County 34 (NC), Single Family,3
217,Mecklenburg County 3 (NC), Townhouse,1
218,Mecklenburg County 14 (NC), Townhouse,1
219,Mecklenburg County 30 (NC), Condominium,4
220,Mecklenburg County 2 (NC), Single Family,3
221,Mecklenburg County 11 (NC), Condominium,4
222,Mecklenburg County 15 (NC), Single Family,3
223,Huntersville, Single Family,2
224,Mecklenburg County 12 (NC), Townhouse,1
225,Mecklenburg County 12 (NC), Condominium,4
226,Mecklenburg County 12 (NC), Condominium,4
227,Mecklenburg County 12 (NC), Condominium,4
228,Mecklenburg County 29 (NC), Single Family,1
229,Mecklenburg County 29 (NC), Single Family,1
230,Mecklenburg County 29 (NC), Single Family,1
231,Mecklenburg County 4 (NC), Single Family,3
232,Mecklenburg County 4 (NC), Single Family,3
233,Mecklenburg County 4 (NC), Single Family,3
234,Mecklenburg County 4 (NC), Single Family,3
235,Mecklenburg County 16 (NC), Condominium,4
236,Mecklenburg County 15 (NC), Single Family,3
237,Mecklenburg County 15 (NC), Single Family,3
238,Mecklenburg County 15 (NC), Single Family,3
239,Mecklenburg County 36 (NC), Single Family,3
240,Mecklenburg County 36 (NC), Single Family,3
241,Mecklenburg County 9 (NC), Townhouse,1
242,Mecklenburg County 11 (NC), Single Family,3
243,Mecklenburg County 11 (NC), Condominium,4
244,Mecklenburg County 11 (NC), Condominium,4
245,Davidson, Single Family,3
246,Davidson, Single Family,3
247,Mecklenburg County 34 (NC), Townhouse,1
248,Mecklenburg County 34 (NC), Townhouse,1
249,Mecklenburg County 34 (NC), Townhouse,1
250,Mecklenburg County 34 (NC), Townhouse,1
251,Charlotte, Condominium,4
252,Mecklenburg County 8 (NC), Single Family,3
253,Mecklenburg County 8 (NC), Single Family,3
254,Mecklenburg County 34 (NC), Townhouse,1
255,Mecklenburg County 34 (NC), Townhouse,1
256,Mecklenburg County 36 (NC), Single Family,3
257,Huntersville, Townhouse,2
258,Huntersville, Single Family,2
259,Mecklenburg County 18 (NC), Single Family,3
260,Davidson, Single Family,3
261,Charlotte, Condominium,4
262,Mecklenburg County 28 (NC), Single Family,3
263,Mecklenburg County 21 (NC), Single Family,3
264,Cornelius, Townhouse,4
265,Mint Hill, Single Family,3
266,Mint Hill, Single Family,3
267,Mint Hill, Single Family,3
268,Mecklenburg County 6 (NC), Single Family,3
269,Mecklenburg County 6 (NC), Single Family,3
270,Mecklenburg County 6 (NC), Single Family,3
271,Mecklenburg County 6 (NC), Single Family,3
272,Mecklenburg County 6 (NC), Single Family,3
273,Mecklenburg County 29 (NC), Single Family,1
274,Davidson, Single Family,3
275,Huntersville, Townhouse,2
276,Mecklenburg County 28 (NC), Single Family,3
277,Mecklenburg County 28 (NC), Single Family,3
278,Mint Hill, Single Family,3
279,Mecklenburg County 35 (NC), Single Family,0
280,Mecklenburg County 14 (NC), Single Family,3
281,Cornelius, Single Family,4
282,Mecklenburg County 16 (NC), Single Family,3
283,Mecklenburg County 23 (NC), Single Family,3
284,Mecklenburg County 23 (NC), Single Family,3
285,Mecklenburg County 16 (NC), Single Family,3
286,Mecklenburg County 16 (NC), Single Family,3
287,Cornelius, Condominium,4
288,Cornelius, Condominium,4
289,Huntersville, Single Family,2
290,Mecklenburg County 36 (NC), Single Family,3
291,Mecklenburg County 11 (NC), Single Family,3
292,Mecklenburg County 11 (NC), Single Family,3
293,Mecklenburg County 19 (NC), Single Family,3
294,Mecklenburg County 19 (NC), Single Family,3
295,Mecklenburg County 19 (NC), Single Family,3
296,Mecklenburg County 7 (NC), Single Family,3
297,Mecklenburg County 16 (NC), Single Family,3
298,Davidson, Single Family,3
299,Mecklenburg County 28 (NC), Townhouse,1
300,Mecklenburg County 11 (NC), Single Family,3
