,Submarket,Housing_Type,Cluster
21929,Mecklenburg County 36 (NC), Single Family,3
21930,Mecklenburg County 36 (NC), Single Family,3
21931,Mecklenburg County 36 (NC), Single Family,3
21932,Mecklenburg County 36 (NC), Single Family,3
21933,Mecklenburg County 36 (NC), Single Family,3
21934,Mecklenburg County 19 (NC), Condominium,4
21935,Mecklenburg County 19 (NC), Condominium,4
21936,Mecklenburg County 21 (NC), Single Family,3
21937,Mecklenburg County 22 (NC), Single Family,3
21938,Mecklenburg County 14 (NC), Single Family,3
21939,Mecklenburg County 8 (NC), Single Family,3
21940,Mecklenburg County 8 (NC), Single Family,3
21941,Mecklenburg County 8 (NC), Single Family,3
21942,Mecklenburg County 15 (NC), Single Family,3
21943,Mecklenburg County 15 (NC), Single Family,3
21944,Mecklenburg County 28 (NC), Single Family,3
21945,Mecklenburg County 28 (NC), Single Family,3
21946,Mecklenburg County 28 (NC), Single Family,3
21947,Mecklenburg County 28 (NC), Single Family,3
21948,Mecklenburg County 28 (NC), Single Family,3
21949,Mecklenburg County 28 (NC), Single Family,3
21950,Mecklenburg County 28 (NC), Single Family,3
21951,Mecklenburg County 27 (NC), Single Family,3
21952,Mecklenburg County 27 (NC), Single Family,3
21953,Mecklenburg County 29 (NC), Single Family,1
21954,Mecklenburg County 29 (NC), Single Family,1
21955,Mecklenburg County 29 (NC), Single Family,1
21956,Mecklenburg County 14 (NC), Single Family,3
21957,Mecklenburg County 7 (NC), Single Family,3
21958,Mecklenburg County 9 (NC), Single Family,3
21959,Mecklenburg County 9 (NC), Single Family,3
21960,Mecklenburg County 9 (NC), Single Family,3
21961,Mecklenburg County 29 (NC), Single Family,1
21962,Pineville, Single Family,3
21963,Mecklenburg County 9 (NC), Single Family,3
21964,Mecklenburg County 29 (NC), Single Family,1
21965,Mecklenburg County 29 (NC), Single Family,1
21966,Mecklenburg County 29 (NC), Single Family,1
21967,Mecklenburg County 28 (NC), Single Family,3
21968,Mecklenburg County 25 (NC), Single Family,3
21969,Mecklenburg County 25 (NC), Single Family,3
21970,Mecklenburg County 25 (NC), Single Family,3
21971,Mecklenburg County 7 (NC), Condominium,4
21972,Mecklenburg County 19 (NC), Single Family,3
21973,Mecklenburg County 19 (NC), Single Family,3
21974,Huntersville, Townhouse,2
21975,Mecklenburg County 13 (NC), Single Family,3
21976,Charlotte, Single Family,3
21977,Charlotte, Single Family,3
21978,Charlotte, Single Family,3
21979,Charlotte, Single Family,3
21980,Charlotte, Single Family,3
21981,Mecklenburg County 14 (NC), Condominium,4
21982,Mecklenburg County 26 (NC), Single Family,3
21983,Mecklenburg County 26 (NC), Single Family,3
21984,Mecklenburg County 26 (NC), Single Family,3
21985,Mecklenburg County 28 (NC), Townhouse,1
21986,Mecklenburg County 28 (NC), Townhouse,1
21987,Mecklenburg County 28 (NC), Townhouse,1
21988,Mecklenburg County 28 (NC), Townhouse,1
21989,Mecklenburg County 16 (NC), Condominium,4
21990,Mecklenburg County 36 (NC), Townhouse,1
21991,Mecklenburg County 36 (NC), Townhouse,1
21992,Mecklenburg County 36 (NC), Townhouse,1
21993,Mecklenburg County 36 (NC), Townhouse,1
21994,Mecklenburg County 36 (NC), Townhouse,1
21995,Mecklenburg County 36 (NC), Townhouse,1
21996,Mecklenburg County 36 (NC), Townhouse,1
21997,Mecklenburg County 36 (NC), Townhouse,1
21998,Mecklenburg County 36 (NC), Townhouse,1
21999,Mecklenburg County 2 (NC), Condominium,4
22000,Mecklenburg County 2 (NC), High Rise Condo,4
22001,Mecklenburg County 21 (NC), Townhouse,1
22002,Mecklenburg County 21 (NC), Single Family,3
22003,Mecklenburg County 30 (NC), Single Family,3
22004,Mecklenburg County 30 (NC), Single Family,3
22005,Mecklenburg County 18 (NC), Single Family,3
22006,Mecklenburg County 29 (NC), Single Family,1
22007,Mecklenburg County 29 (NC), Single Family,1
22008,Mecklenburg County 29 (NC), Single Family,1
22009,Mecklenburg County 29 (NC), Townhouse,1
22010,Mecklenburg County 29 (NC), Single Family,1
22011,Mecklenburg County 29 (NC), Single Family,1
22012,Mecklenburg County 29 (NC), Townhouse,1
22013,Mecklenburg County 27 (NC), Single Family,3
22014,Davidson, Single Family,3
22015,Davidson, Single Family,3
22016,Mint Hill, Single Family,3
22017,Mecklenburg County 14 (NC), Single Family,3
22018,Mecklenburg County 16 (NC), Condominium,4
22019,Mint Hill, Single Family,3
22020,Mecklenburg County 11 (NC), Single Family,3
22021,Mecklenburg County 29 (NC), Single Family,1
22022,Mecklenburg County 29 (NC), Single Family,1
22023,Mecklenburg County 29 (NC), Single Family,1
22024,Mecklenburg County 29 (NC), Single Family,1
22025,Mecklenburg County 29 (NC), Single Family,1
22026,Mecklenburg County 29 (NC), Single Family,1
22027,Mecklenburg County 15 (NC), Single Family,3
22028,Mecklenburg County 15 (NC), Single Family,3
22029,Mecklenburg County 15 (NC), Single Family,3
22030,Mecklenburg County 15 (NC), Single Family,3
22031,Mecklenburg County 15 (NC), Single Family,3
22032,Mecklenburg County 15 (NC), Single Family,3
22033,Mecklenburg County 15 (NC), Single Family,3
22034,Mecklenburg County 36 (NC), Single Family,3
22035,Mecklenburg County 36 (NC), Single Family,3
22036,Mecklenburg County 16 (NC), Single Family,3
22037,Mecklenburg County 15 (NC), Single Family,3
22038,Mecklenburg County 15 (NC), Single Family,3
22039,Mecklenburg County 15 (NC), Townhouse,1
22040,Mecklenburg County 15 (NC), Townhouse,1
22041,Mecklenburg County 15 (NC), Townhouse,1
22042,Mecklenburg County 15 (NC), Townhouse,1
22043,Mecklenburg County 15 (NC), Townhouse,1
22044,Mecklenburg County 15 (NC), Townhouse,1
22045,Mecklenburg County 15 (NC), Townhouse,1
22046,Mecklenburg County 15 (NC), Single Family,3
22047,Mecklenburg County 15 (NC), Single Family,3
22048,Matthews, Single Family,3
22049,Mecklenburg County 15 (NC), Single Family,3
22050,Matthews, Single Family,3
22051,Mecklenburg County 15 (NC), Single Family,3
22052,Mecklenburg County 15 (NC), Single Family,3
22053,Matthews, Townhouse,1
22054,Matthews, Townhouse,1
22055,Mecklenburg County 15 (NC), Townhouse,1
22056,Mecklenburg County 15 (NC), Townhouse,1
22057,Mecklenburg County 18 (NC), Single Family,3
22058,Mecklenburg County 18 (NC), Single Family,3
22059,Mecklenburg County 18 (NC), Single Family,3
22060,Mecklenburg County 15 (NC), Single Family,3
22061,Mecklenburg County 15 (NC), Single Family,3
22062,Mecklenburg County 15 (NC), Single Family,3
22063,Mecklenburg County 15 (NC), Single Family,3
22064,Mecklenburg County 15 (NC), Single Family,3
22065,Mecklenburg County 15 (NC), Single Family,3
22066,Mecklenburg County 15 (NC), Single Family,3
22067,Mecklenburg County 15 (NC), Single Family,3
22068,Mecklenburg County 15 (NC), Single Family,3
22069,Mecklenburg County 15 (NC), Single Family,3
22070,Mecklenburg County 18 (NC), Single Family,3
22071,Mecklenburg County 18 (NC), Single Family,3
22072,Mecklenburg County 18 (NC), Single Family,3
22073,Mecklenburg County 18 (NC), Single Family,3
22074,Mecklenburg County 15 (NC), Single Family,3
22075,Mecklenburg County 15 (NC), Single Family,3
22076,Mecklenburg County 15 (NC), Single Family,3
22077,Mecklenburg County 15 (NC), Single Family,3
22078,Mecklenburg County 15 (NC), Single Family,3
22079,Mecklenburg County 15 (NC), Single Family,3
22080,Mecklenburg County 15 (NC), Single Family,3
22081,Mecklenburg County 15 (NC), Single Family,3
22082,Mecklenburg County 15 (NC), Single Family,3
22083,Mecklenburg County 15 (NC), Single Family,3
22084,Mecklenburg County 15 (NC), Single Family,3
22085,Mecklenburg County 15 (NC), Single Family,3
22086,Mecklenburg County 15 (NC), Single Family,3
22087,Mecklenburg County 15 (NC), Single Family,3
22088,Mecklenburg County 15 (NC), Single Family,3
22089,Mecklenburg County 36 (NC), Townhouse,1
22090,Mecklenburg County 36 (NC), Townhouse,1
22091,Mecklenburg County 36 (NC), Townhouse,1
22092,Mecklenburg County 36 (NC), Townhouse,1
22093,Cornelius, Single Family,4
22094,Cornelius, Single Family,4
22095,Mint Hill, Single Family,3
22096,Mecklenburg County 23 (NC), Single Family,3
22097,Mecklenburg County 23 (NC), Townhouse,1
22098,Mecklenburg County 23 (NC), Townhouse,1
22099,Mecklenburg County 23 (NC), Single Family,3
22100,Mecklenburg County 16 (NC), Condominium,4
22101,Mecklenburg County 19 (NC), Condominium,4
22102,Mecklenburg County 19 (NC), Condominium,4
22103,Mecklenburg County 19 (NC), Condominium,4
22104,Mecklenburg County 19 (NC), Condominium,4
22105,Mecklenburg County 29 (NC), Single Family,1
22106,Cornelius, Single Family,4
22107,Mecklenburg County 23 (NC), Single Family,3
22108,Mecklenburg County 23 (NC), Single Family,3
22109,Mecklenburg County 23 (NC), Single Family,3
22110,Mecklenburg County 23 (NC), Townhouse,1
22111,Mecklenburg County 23 (NC), Townhouse,1
22112,Mecklenburg County 23 (NC), Townhouse,1
22113,Mecklenburg County 14 (NC), Single Family,3
22114,Mecklenburg County 21 (NC), Condominium,4
22115,Mecklenburg County 16 (NC), Condominium,4
22116,Mecklenburg County 23 (NC), Single Family,3
22117,Mecklenburg County 23 (NC), Single Family,3
22118,Mecklenburg County 23 (NC), Single Family,3
22119,Mecklenburg County 23 (NC), Single Family,3
22120,Mecklenburg County 16 (NC), Single Family,3
22121,Mecklenburg County 21 (NC), Single Family,3
22122,Mecklenburg County 23 (NC), Single Family,3
22123,Mecklenburg County 22 (NC), Single Family,3
22124,Mecklenburg County 21 (NC), Single Family,3
22125,Mecklenburg County 21 (NC), Single Family,3
22126,Mecklenburg County 23 (NC), Single Family,3
22127,Mecklenburg County 21 (NC), Single Family,3
22128,Mecklenburg County 21 (NC), Single Family,3
22129,Mecklenburg County 21 (NC), Single Family,3
22130,Mecklenburg County 22 (NC), Single Family,3
22131,Mecklenburg County 21 (NC), Single Family,3
22132,Mecklenburg County 21 (NC), Single Family,3
22133,Mecklenburg County 21 (NC), Single Family,3
22134,Mecklenburg County 21 (NC), Single Family,3
22135,Mecklenburg County 22 (NC), Single Family,3
22136,Mecklenburg County 21 (NC), Single Family,3
22137,Mecklenburg County 22 (NC), Single Family,3
22138,Mecklenburg County 21 (NC), Single Family,3
22139,Mecklenburg County 21 (NC), Single Family,3
22140,Mecklenburg County 21 (NC), Single Family,3
22141,Mecklenburg County 22 (NC), Single Family,3
22142,Mecklenburg County 22 (NC), Single Family,3
22143,Mecklenburg County 22 (NC), Single Family,3
22144,Mecklenburg County 21 (NC), Single Family,3
22145,Mecklenburg County 16 (NC), Condominium,4
22146,Mecklenburg County 16 (NC), Condominium,4
22147,Mecklenburg County 14 (NC), Condominium,4
22148,Mecklenburg County 14 (NC), Condominium,4
22149,Mecklenburg County 14 (NC), Condominium,4
22150,Mecklenburg County 22 (NC), Single Family,3
22151,Mecklenburg County 21 (NC), Single Family,3
22152,Mecklenburg County 21 (NC), Single Family,3
22153,Mecklenburg County 28 (NC), Single Family,3
22154,Mecklenburg County 28 (NC), Single Family,3
22155,Mecklenburg County 28 (NC), Single Family,3
22156,Mecklenburg County 28 (NC), Single Family,3
22157,Mecklenburg County 28 (NC), Single Family,3
22158,Mecklenburg County 28 (NC), Single Family,3
22159,Mecklenburg County 18 (NC), Single Family,3
22160,Mecklenburg County 18 (NC), Single Family,3
22161,Mecklenburg County 18 (NC), Single Family,3
22162,Mecklenburg County 18 (NC), Single Family,3
22163,Mecklenburg County 18 (NC), Single Family,3
22164,Mecklenburg County 18 (NC), Single Family,3
22165,Mecklenburg County 18 (NC), Single Family,3
22166,Mecklenburg County 18 (NC), Single Family,3
22167,Mecklenburg County 18 (NC), Single Family,3
22168,Mecklenburg County 1 (NC), Condominium,4
22169,Mecklenburg County 20 (NC), Single Family,3
22170,Mecklenburg County 9 (NC), Single Family,3
22171,Mecklenburg County 9 (NC), Single Family,3
22172,Mecklenburg County 9 (NC), Single Family,3
22173,Mecklenburg County 9 (NC), Single Family,3
22174,Mecklenburg County 19 (NC), Single Family,3
22175,Mecklenburg County 19 (NC), Single Family,3
22176,Mecklenburg County 19 (NC), Single Family,3
22177,Matthews, Single Family,3
22178,Matthews, Single Family,3
22179,Mecklenburg County 8 (NC), Single Family,3
22180,Mecklenburg County 8 (NC), Single Family,3
22181,Mecklenburg County 8 (NC), Single Family,3
22182,Mecklenburg County 8 (NC), Single Family,3
22183,Mecklenburg County 13 (NC), Single Family,3
22184,Mecklenburg County 13 (NC), Single Family,3
22185,Mecklenburg County 12 (NC), Single Family,3
22186,Mecklenburg County 17 (NC), Single Family,3
22187,Mecklenburg County 17 (NC), Single Family,3
22188,Mecklenburg County 17 (NC), Single Family,3
22189,Pineville, Condominium,4
22190,Pineville, Condominium,4
22191,Pineville, Condominium,4
22192,Pineville, Townhouse,1
22193,Pineville, Townhouse,1
22194,Pineville, Townhouse,1
22195,Pineville, Townhouse,1
22196,Mecklenburg County 18 (NC), Townhouse,1
22197,Mecklenburg County 18 (NC), Townhouse,1
22198,Mecklenburg County 18 (NC), Townhouse,1
22199,Mecklenburg County 18 (NC), Townhouse,1
22200,Mecklenburg County 17 (NC), Single Family,3
22201,Mecklenburg County 17 (NC), Single Family,3
22202,Mecklenburg County 17 (NC), Single Family,3
22203,Mecklenburg County 17 (NC), Single Family,3
22204,Mecklenburg County 22 (NC), Single Family,3
22205,Mecklenburg County 27 (NC), Single Family,3
22206,Mecklenburg County 6 (NC), Single Family,3
22207,Mecklenburg County 6 (NC), Single Family,3
22208,Mecklenburg County 34 (NC), Single Family,3
22209,Mecklenburg County 15 (NC), Single Family,3
22210,Matthews, Single Family,3
22211,Davidson, Single Family,3
22212,Davidson, Single Family,3
22213,Davidson, Single Family,3
22214,Davidson, Single Family,3
22215,Davidson, Single Family,3
22216,Davidson, Single Family,3
22217,Mecklenburg County 13 (NC), Single Family,3
22218,Mecklenburg County 13 (NC), Single Family,3
22219,Mecklenburg County 13 (NC), Single Family,3
22220,Mecklenburg County 14 (NC), Single Family,3
22221,Mecklenburg County 14 (NC), Single Family,3
22222,Mecklenburg County 14 (NC), Single Family,3
22223,Mecklenburg County 14 (NC), Single Family,3
22224,Mecklenburg County 14 (NC), Single Family,3
22225,Mint Hill, Single Family,3
22226,Mint Hill, Single Family,3
22227,Mint Hill, Single Family,3
22228,Mecklenburg County 28 (NC), Condominium,4
22229,Mecklenburg County 1 (NC), Condominium,4
22230,Cornelius, Townhouse,4
22231,Cornelius, Townhouse,4
22232,Cornelius, Townhouse,4
22233,Mecklenburg County 30 (NC), Single Family,3
22234,Mecklenburg County 30 (NC), Single Family,3
22235,Mecklenburg County 30 (NC), Single Family,3
22236,Mecklenburg County 30 (NC), Single Family,3
22237,Mecklenburg County 30 (NC), Single Family,3
22238,Mecklenburg County 7 (NC), Single Family,3
22239,Mecklenburg County 7 (NC), Single Family,3
22240,Mecklenburg County 7 (NC), Single Family,3
22241,Mecklenburg County 28 (NC), Single Family,3
22242,Mecklenburg County 14 (NC), Single Family,3
22243,Mecklenburg County 14 (NC), Single Family,3
22244,Mecklenburg County 15 (NC), Single Family,3
22245,Mecklenburg County 14 (NC), Condominium,4
22246,Mecklenburg County 2 (NC), Condominium,4
22247,Mecklenburg County 24 (NC), Condominium,4
22248,Mecklenburg County 24 (NC), Condominium,4
22249,Davidson, Single Family,3
22250,Davidson, Single Family,3
22251,Davidson, Single Family,3
22252,Davidson, Single Family,3
22253,Davidson, Single Family,3
22254,Davidson, Single Family,3
22255,Davidson, Single Family,3
22256,Davidson, Single Family,3
22257,Davidson, Townhouse,1
22258,Davidson, Townhouse,1
22259,Davidson, Single Family,3
22260,Davidson, Single Family,3
22261,Davidson, Single Family,3
22262,Davidson, Single Family,3
22263,Davidson, Single Family,3
22264,Davidson, Single Family,3
22265,Davidson, Single Family,3
22266,Davidson, Single Family,3
22267,Davidson, Single Family,3
22268,Davidson, Single Family,3
22269,Davidson, Single Family,3
22270,Davidson, Single Family,3
22271,Davidson, Single Family,3
22272,Davidson, Townhouse,1
22273,Davidson, Townhouse,1
22274,Davidson, Townhouse,1
22275,Davidson, Townhouse,1
22276,Mint Hill, Single Family,3
22277,Mecklenburg County 2 (NC), Condominium,4
22278,Mecklenburg County 26 (NC), Single Family,3
22279,Mecklenburg County 24 (NC), Single Family,3
22280,Mecklenburg County 24 (NC), Single Family,3
22281,Mecklenburg County 24 (NC), Single Family,3
22282,Mecklenburg County 26 (NC), Single Family,3
22283,Mecklenburg County 26 (NC), Single Family,3
22284,Mecklenburg County 3 (NC), Single Family,3
22285,Mecklenburg County 15 (NC), Single Family,3
22286,Mecklenburg County 15 (NC), Single Family,3
22287,Mecklenburg County 15 (NC), Single Family,3
22288,Mecklenburg County 15 (NC), Single Family,3
22289,Mecklenburg County 15 (NC), Single Family,3
22290,Mecklenburg County 29 (NC), Single Family,1
22291,Mecklenburg County 29 (NC), Single Family,1
22292,Mecklenburg County 29 (NC), Single Family,1
22293,Mecklenburg County 23 (NC), Condominium,4
22294,Mecklenburg County 23 (NC), Condominium,4
22295,Mecklenburg County 34 (NC), Single Family,3
22296,Cornelius, Condominium,4
22297,Cornelius, Condominium,4
22298,Mint Hill, Single Family,3
22299,Cornelius, Condominium,4
22300,Mecklenburg County 14 (NC), Condominium,4
22301,Mecklenburg County 14 (NC), Condominium,4
22302,Mecklenburg County 14 (NC), Condominium,4
22303,Mecklenburg County 23 (NC), Single Family,3
22304,Mecklenburg County 23 (NC), Single Family,3
22305,Mecklenburg County 21 (NC), Condominium,4
22306,Mecklenburg County 1 (NC), High Rise Condo,4
22307,Mecklenburg County 14 (NC), Single Family,3
22308,Mecklenburg County 34 (NC), Single Family,3
22309,Mecklenburg County 34 (NC), Single Family,3
22310,Mecklenburg County 34 (NC), Single Family,3
22311,Mecklenburg County 19 (NC), Single Family,3
22312,Mecklenburg County 19 (NC), Single Family,3
22313,Mecklenburg County 19 (NC), Single Family,3
22314,Mecklenburg County 19 (NC), Single Family,3
22315,Mecklenburg County 19 (NC), Single Family,3
22316,Mecklenburg County 19 (NC), Single Family,3
22317,Mecklenburg County 19 (NC), Single Family,3
22318,Mecklenburg County 19 (NC), Single Family,3
22319,Mecklenburg County 19 (NC), Single Family,3
22320,Mecklenburg County 19 (NC), Single Family,3
22321,Mecklenburg County 34 (NC), Single Family,3
22322,Mecklenburg County 34 (NC), Single Family,3
22323,Mecklenburg County 34 (NC), Single Family,3
22324,Mecklenburg County 34 (NC), Townhouse,1
22325,Mecklenburg County 34 (NC), Townhouse,1
22326,Mecklenburg County 34 (NC), Townhouse,1
22327,Mecklenburg County 34 (NC), Townhouse,1
22328,Mecklenburg County 34 (NC), Townhouse,1
22329,Mecklenburg County 34 (NC), Townhouse,1
22330,Mecklenburg County 34 (NC), Townhouse,1
22331,Mecklenburg County 34 (NC), Townhouse,1
22332,Mecklenburg County 34 (NC), Townhouse,1
22333,Mecklenburg County 16 (NC), Condominium,4
22334,Mecklenburg County 16 (NC), Townhouse,1
22335,Mecklenburg County 16 (NC), Townhouse,1
22336,Mecklenburg County 16 (NC), Townhouse,1
22337,Mecklenburg County 36 (NC), Single Family,3
22338,Mecklenburg County 36 (NC), Single Family,3
22339,Mecklenburg County 36 (NC), Single Family,3
22340,Mecklenburg County 36 (NC), Single Family,3
22341,Mecklenburg County 36 (NC), Single Family,3
22342,Mecklenburg County 34 (NC), Townhouse,1
22343,Mecklenburg County 34 (NC), Single Family,3
22344,Mecklenburg County 34 (NC), Townhouse,1
22345,Mecklenburg County 34 (NC), Townhouse,1
22346,Mecklenburg County 34 (NC), Townhouse,1
22347,Mecklenburg County 34 (NC), Townhouse,1
22348,Mecklenburg County 21 (NC), Condominium,4
22349,Mecklenburg County 21 (NC), Condominium,4
22350,Mecklenburg County 21 (NC), Condominium,4
22351,Cornelius, Condominium,4
22352,Mecklenburg County 35 (NC), Single Family,0
22353,Mecklenburg County 35 (NC), Single Family,0
22354,Mecklenburg County 35 (NC), Single Family,0
22355,Mecklenburg County 35 (NC), Single Family,0
22356,Mecklenburg County 35 (NC), Single Family,0
22357,Mecklenburg County 35 (NC), Single Family,0
22358,Mecklenburg County 35 (NC), Single Family,0
22359,Mecklenburg County 35 (NC), Single Family,0
22360,Mecklenburg County 15 (NC), Single Family,3
22361,Matthews, Single Family,3
22362,Matthews, Single Family,3
22363,Matthews, Single Family,3
22364,Mecklenburg County 26 (NC), Single Family,3
22365,Mecklenburg County 13 (NC), Single Family,3
22366,Davidson, Single Family,3
22367,Davidson, Condominium,4
22368,Mecklenburg County 29 (NC), Single Family,1
22369,Mecklenburg County 36 (NC), Single Family,3
22370,Mecklenburg County 29 (NC), Single Family,1
22371,Mecklenburg County 11 (NC), Condominium,4
22372,Mecklenburg County 28 (NC), Single Family,3
22373,Mecklenburg County 28 (NC), Single Family,3
22374,Mecklenburg County 28 (NC), Single Family,3
22375,Mecklenburg County 28 (NC), Single Family,3
22376,Mecklenburg County 20 (NC), Single Family,3
22377,Mecklenburg County 20 (NC), Single Family,3
22378,Mecklenburg County 20 (NC), Single Family,3
22379,Mecklenburg County 20 (NC), Single Family,3
22380,Mecklenburg County 20 (NC), Single Family,3
22381,Mecklenburg County 20 (NC), Single Family,3
22382,Mecklenburg County 20 (NC), Single Family,3
22383,Mecklenburg County 20 (NC), Single Family,3
22384,Mecklenburg County 29 (NC), Single Family,1
22385,Mecklenburg County 29 (NC), Single Family,1
22386,Mecklenburg County 29 (NC), Single Family,1
22387,Mecklenburg County 22 (NC), Single Family,3
22388,Mecklenburg County 22 (NC), Single Family,3
22389,Mecklenburg County 22 (NC), Single Family,3
22390,Mecklenburg County 1 (NC), Condominium,4
22391,Mecklenburg County 1 (NC), Condominium,4
22392,Mecklenburg County 1 (NC), Condominium,4
22393,Mecklenburg County 28 (NC), Single Family,3
22394,Mecklenburg County 28 (NC), Single Family,3
22395,Mecklenburg County 15 (NC), Townhouse,1
22396,Mecklenburg County 15 (NC), Townhouse,1
22397,Matthews, Single Family,3
22398,Mecklenburg County 6 (NC), Single Family,3
22399,Mecklenburg County 6 (NC), Single Family,3
22400,Mecklenburg County 6 (NC), Single Family,3
22401,Mint Hill, Single Family,3
22402,Mint Hill, Single Family,3
22403,Mecklenburg County 23 (NC), Townhouse,1
22404,Mecklenburg County 1 (NC), Condominium,4
22405,Mecklenburg County 15 (NC), Single Family,3
22406,Mecklenburg County 22 (NC), Single Family,3
22407,Mecklenburg County 17 (NC), Single Family,3
22408,Mecklenburg County 22 (NC), Single Family,3
22409,Mecklenburg County 17 (NC), Single Family,3
22410,Mecklenburg County 22 (NC), Single Family,3
22411,Mecklenburg County 17 (NC), Single Family,3
22412,Mecklenburg County 17 (NC), Single Family,3
22413,Mecklenburg County 21 (NC), Single Family,3
22414,Mecklenburg County 22 (NC), Single Family,3
22415,Mecklenburg County 22 (NC), Single Family,3
22416,Mecklenburg County 17 (NC), Single Family,3
22417,Mecklenburg County 22 (NC), Single Family,3
22418,Mecklenburg County 17 (NC), Single Family,3
22419,Mecklenburg County 22 (NC), Single Family,3
22420,Mecklenburg County 22 (NC), Single Family,3
22421,Mecklenburg County 17 (NC), Single Family,3
22422,Mecklenburg County 17 (NC), Single Family,3
22423,Mecklenburg County 17 (NC), Single Family,3
22424,Mecklenburg County 22 (NC), Single Family,3
22425,Mecklenburg County 17 (NC), Single Family,3
22426,Mecklenburg County 17 (NC), Single Family,3
22427,Mecklenburg County 17 (NC), Single Family,3
22428,Mecklenburg County 26 (NC), Single Family,3
22429,Mecklenburg County 3 (NC), Townhouse,1
22430,Mecklenburg County 3 (NC), Townhouse,1
22431,Mecklenburg County 3 (NC), Townhouse,1
22432,Mecklenburg County 3 (NC), Single Family,3
22433,Mecklenburg County 3 (NC), Townhouse,1
22434,Mecklenburg County 3 (NC), Townhouse,1
22435,Mecklenburg County 3 (NC), Townhouse,1
22436,Mecklenburg County 3 (NC), Townhouse,1
22437,Mecklenburg County 3 (NC), Townhouse,1
22438,Mecklenburg County 3 (NC), Townhouse,1
22439,Mecklenburg County 36 (NC), Single Family,3
22440,Mecklenburg County 36 (NC), Single Family,3
22441,Mecklenburg County 36 (NC), Single Family,3
22442,Mecklenburg County 36 (NC), Single Family,3
22443,Mecklenburg County 36 (NC), Single Family,3
22444,Mecklenburg County 36 (NC), Single Family,3
22445,Mecklenburg County 36 (NC), Single Family,3
22446,Mecklenburg County 36 (NC), Single Family,3
22447,Mecklenburg County 36 (NC), Single Family,3
22448,Mecklenburg County 36 (NC), Single Family,3
22449,Mecklenburg County 36 (NC), Single Family,3
22450,Mecklenburg County 36 (NC), Single Family,3
22451,Mecklenburg County 36 (NC), Single Family,3
22452,Mecklenburg County 36 (NC), Single Family,3
22453,Mecklenburg County 36 (NC), Single Family,3
22454,Mecklenburg County 36 (NC), Single Family,3
22455,Mecklenburg County 36 (NC), Single Family,3
22456,Mecklenburg County 36 (NC), Single Family,3
22457,Mecklenburg County 36 (NC), Single Family,3
22458,Mecklenburg County 36 (NC), Single Family,3
22459,Mecklenburg County 36 (NC), Single Family,3
22460,Mecklenburg County 36 (NC), Single Family,3
22461,Mecklenburg County 7 (NC), Single Family,3
22462,Mecklenburg County 7 (NC), Single Family,3
22463,Huntersville, Single Family,2
22464,Huntersville, Single Family,2
22465,Huntersville, Single Family,2
22466,Huntersville, Single Family,2
22467,Huntersville, Single Family,2
22468,Mecklenburg County 7 (NC), Single Family,3
22469,Mecklenburg County 7 (NC), Single Family,3
22470,Mecklenburg County 34 (NC), Townhouse,1
22471,Mecklenburg County 34 (NC), Townhouse,1
22472,Mecklenburg County 6 (NC), Single Family,3
22473,Cornelius, Condominium,4
22474,Mecklenburg County 35 (NC), Single Family,0
22475,Mecklenburg County 35 (NC), Single Family,0
22476,Mecklenburg County 34 (NC), Single Family,3
22477,Mecklenburg County 35 (NC), Townhouse,0
22478,Mecklenburg County 35 (NC), Townhouse,0
22479,Mecklenburg County 35 (NC), Townhouse,0
22480,Mecklenburg County 35 (NC), Townhouse,0
22481,Mecklenburg County 35 (NC), Townhouse,0
22482,Mecklenburg County 35 (NC), Townhouse,0
22483,Mecklenburg County 35 (NC), Townhouse,0
22484,Mecklenburg County 35 (NC), Townhouse,0
22485,Mecklenburg County 35 (NC), Single Family,0
22486,Mecklenburg County 35 (NC), Single Family,0
22487,Mecklenburg County 35 (NC), Single Family,0
22488,Mecklenburg County 35 (NC), Single Family,0
22489,Mecklenburg County 35 (NC), Single Family,0
22490,Mecklenburg County 35 (NC), Single Family,0
22491,Mecklenburg County 35 (NC), Single Family,0
22492,Mecklenburg County 35 (NC), Single Family,0
22493,Mecklenburg County 35 (NC), Single Family,0
22494,Mecklenburg County 35 (NC), Single Family,0
22495,Mecklenburg County 35 (NC), Single Family,0
22496,Mecklenburg County 35 (NC), Single Family,0
22497,Mecklenburg County 35 (NC), Single Family,0
22498,Mecklenburg County 35 (NC), Single Family,0
22499,Mecklenburg County 35 (NC), Single Family,0
22500,Mecklenburg County 35 (NC), Single Family,0
22501,Mecklenburg County 35 (NC), Single Family,0
22502,Mecklenburg County 35 (NC), Single Family,0
22503,Mecklenburg County 35 (NC), Single Family,0
22504,Mecklenburg County 35 (NC), Single Family,0
22505,Mecklenburg County 35 (NC), Single Family,0
22506,Mecklenburg County 35 (NC), Single Family,0
22507,Mecklenburg County 35 (NC), Single Family,0
22508,Mecklenburg County 35 (NC), Single Family,0
22509,Mecklenburg County 36 (NC), Townhouse,1
22510,Mecklenburg County 36 (NC), Townhouse,1
22511,Huntersville, Single Family,2
22512,Huntersville, Single Family,2
22513,Huntersville, Single Family,2
22514,Huntersville, Single Family,2
22515,Huntersville, Single Family,2
22516,Huntersville, Single Family,2
22517,Mecklenburg County 23 (NC), Condominium,4
22518,Mecklenburg County 28 (NC), Single Family,3
