,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
149,2.0,3.0,2.5, Townhouse,2
150,2.0,3.0,2.5, Townhouse,2
151,2.0,2.0,2.5, Townhouse,2
152,2.0,3.0,2.0, Townhouse,2
153,2.0,2.0,2.5, Townhouse,2
154,2.0,2.0,2.5, Townhouse,2
155,2.0,4.0,2.5, Single Family,0
156,2.0,4.0,2.5, Single Family,0
157,2.0,3.0,2.5, Single Family,0
158,2.0,4.0,3.5, Single Family,0
159,2.0,3.0,2.5, Single Family,0
160,2.0,4.0,2.5, Single Family,0
161,2.0,4.0,2.5, Single Family,0
162,2.0,3.0,2.5, Single Family,0
163,2.0,4.0,2.5, Single Family,0
164,1.0,3.0,2.0, Single Family,1
165,1.0,3.0,2.0, Single Family,1
166,2.0,4.0,2.5, Single Family,0
167,2.0,5.0,2.5, Single Family,0
168,2.0,3.0,2.5, Condominium,3
169,2.0,2.0,2.5, Condominium,3
170,2.0,4.0,3.5, Single Family,0
171,2.0,2.0,1.5, Townhouse,2
172,2.0,3.0,2.5, Townhouse,2
173,1.5,3.0,2.5, Townhouse,2
174,2.0,2.0,2.5, Townhouse,2
175,2.0,2.0,1.5, Condominium,3
176,2.5,2.0,2.5, Single Family,0
177,1.0,3.0,2.0, Single Family,1
178,1.0,3.0,2.0, Single Family,1
179,1.5,3.0,2.5, Single Family,1
180,1.0,3.0,2.0, Single Family,1
181,2.0,4.0,3.5, Single Family,0
182,2.0,4.0,2.5, Single Family,0
183,2.0,4.0,3.5, Single Family,0
184,1.5,3.0,2.5, Single Family,1
185,2.0,3.0,2.5, Single Family,0
186,1.0,3.0,2.0, Single Family,1
187,1.0,3.0,1.0, Single Family,1
188,1.0,3.0,2.0, Single Family,1
189,2.0,4.0,2.5, Single Family,0
190,2.0,4.0,2.5, Single Family,0
191,1.0,3.0,2.0, Single Family,1
192,1.0,3.0,2.0, Single Family,1
193,1.0,3.0,2.0, Single Family,1
194,2.0,5.0,4.0, Single Family,0
195,1.0,3.0,1.5, Single Family,1
196,2.0,4.0,3.5, Single Family,0
197,2.0,3.0,2.0, Single Family,0
198,1.0,2.0,2.0, Condominium,3
199,2.0,2.0,2.5, Townhouse,2
200,2.0,3.0,2.5, Single Family,0
201,2.0,4.0,2.5, Single Family,0
202,2.0,4.0,3.5, Single Family,0
203,2.0,3.0,2.5, Single Family,0
204,2.0,4.0,2.5, Single Family,0
205,1.0,3.0,2.0, Single Family,1
206,1.0,2.0,2.0, Condominium,3
207,1.0,2.0,2.0, Condominium,3
208,2.0,3.0,2.5, Single Family,0
209,2.0,3.0,2.5, Single Family,0
210,1.0,4.0,2.0, Single Family,1
211,1.0,3.0,1.5, Single Family,1
212,2.0,4.0,3.5, Single Family,0
213,1.0,4.0,2.5, Single Family,1
214,1.0,3.0,2.0, Single Family,1
215,1.0,3.0,2.0, Single Family,1
216,2.0,3.0,2.5, Single Family,0
217,2.0,2.0,2.5, Townhouse,2
218,2.0,3.0,3.5, Townhouse,2
219,1.0,2.0,2.0, Condominium,3
220,1.0,2.0,1.0, Single Family,1
221,1.0,3.0,2.0, Condominium,3
222,2.0,3.0,2.5, Single Family,0
223,2.0,4.0,3.0, Single Family,0
224,2.0,1.0,2.5, Townhouse,2
225,1.0,2.0,1.0, Condominium,3
226,1.0,2.0,1.0, Condominium,3
227,2.0,2.0,1.0, Condominium,3
228,1.0,3.0,1.0, Single Family,1
229,1.0,3.0,1.5, Single Family,1
230,1.0,3.0,1.5, Single Family,1
231,1.0,3.0,2.0, Single Family,1
232,1.0,3.0,2.0, Single Family,1
233,1.0,3.0,3.0, Single Family,1
234,1.0,3.0,1.0, Single Family,1
235,1.0,2.0,1.0, Condominium,3
236,2.0,3.0,2.5, Single Family,0
237,2.0,4.0,2.5, Single Family,0
238,2.0,4.0,2.5, Single Family,0
239,1.0,3.0,2.0, Single Family,1
240,2.0,3.0,2.5, Single Family,0
241,2.0,3.0,2.5, Townhouse,2
242,1.0,3.0,2.0, Single Family,1
243,1.0,1.0,1.0, Condominium,3
244,1.0,2.0,1.5, Condominium,3
245,1.0,3.0,2.0, Single Family,1
246,1.0,3.0,2.0, Single Family,1
247,2.0,2.0,2.5, Townhouse,2
248,2.0,3.0,2.5, Townhouse,2
249,2.0,3.0,2.5, Townhouse,2
250,2.0,3.0,2.5, Townhouse,2
251,1.0,2.0,1.0, Condominium,3
252,1.0,3.0,1.5, Single Family,1
253,1.0,3.0,1.5, Single Family,1
254,2.0,2.0,2.5, Townhouse,2
255,2.0,2.0,2.5, Townhouse,2
256,2.0,3.0,2.5, Single Family,0
257,2.0,2.0,2.5, Townhouse,2
258,2.0,3.0,2.5, Single Family,0
259,2.0,5.0,3.5, Single Family,0
