,Stories,Bedrooms,Bathrooms,Housing_Type,Cluster
7306,2.0,4.0,2.5, Single Family,0
7307,1.5,3.0,2.0, Single Family,1
7308,2.0,4.0,2.5, Single Family,0
7309,2.0,4.0,3.5, Single Family,0
7310,2.0,4.0,2.5, Single Family,0
7311,2.0,4.0,2.5, Single Family,0
7312,2.0,4.0,2.5, Single Family,0
7313,2.0,4.0,3.5, Single Family,0
7314,2.0,6.0,4.5, Single Family,0
7315,2.0,4.0,2.5, Single Family,0
7316,1.0,4.0,2.0, Single Family,1
7317,1.0,3.0,2.0, Single Family,1
7318,1.5,3.0,1.0, Single Family,1
7319,1.0,3.0,2.0, Condominium,3
7320,1.0,3.0,2.0, Condominium,3
7321,1.0,2.0,2.0, Condominium,3
7322,1.0,3.0,2.0, Condominium,3
7323,1.0,2.0,2.0, Condominium,3
7324,1.0,2.0,2.0, Condominium,3
7325,1.0,2.0,2.0, Condominium,3
7326,1.0,2.0,2.0, Condominium,3
7327,1.0,2.0,2.0, Condominium,3
7328,1.0,2.0,2.0, Condominium,3
7329,2.0,3.0,2.5, Single Family,0
7330,1.0,3.0,2.0, Single Family,1
7331,2.0,3.0,2.5, Single Family,0
7332,2.0,3.0,2.5, Single Family,0
7333,2.0,3.0,2.5, Townhouse,2
7334,2.0,3.0,2.5, Townhouse,2
7335,2.0,3.0,3.5, Single Family,0
7336,2.0,4.0,4.5, Single Family,0
7337,2.0,4.0,2.5, Single Family,0
7338,1.0,2.0,1.0, Single Family,1
7339,1.0,4.0,2.0, Single Family,1
7340,1.0,2.0,2.0, Condominium,3
7341,2.0,6.0,4.0, Single Family,0
7342,2.0,5.0,3.5, Single Family,0
7343,1.5,4.0,3.5, Single Family,0
7344,1.0,4.0,3.0, Single Family,1
7345,2.5,4.0,3.5, Single Family,0
7346,1.0,3.0,1.0, Single Family,1
7347,1.0,3.0,1.0, Condominium,3
7348,1.0,3.0,2.0, Single Family,1
7349,2.0,3.0,1.5, Single Family,0
7350,2.0,3.0,2.5, Single Family,0
7351,2.0,4.0,3.5, Single Family,0
7352,2.5,4.0,2.5, Single Family,0
7353,2.5,4.0,3.5, Single Family,0
7354,2.0,4.0,3.5, Single Family,0
7355,2.0,4.0,2.5, Single Family,0
7356,1.0,3.0,2.5, Single Family,1
7357,1.0,3.0,2.0, Single Family,1
7358,1.0,3.0,2.0, Single Family,1
7359,1.5,3.0,2.5, Single Family,1
7360,2.0,4.0,2.5, Single Family,0
7361,2.0,4.0,2.5, Single Family,0
7362,1.0,3.0,2.0, Single Family,1
7363,2.0,3.0,1.5, Single Family,0
7364,1.0,3.0,2.0, Single Family,1
7365,1.0,3.0,2.0, Single Family,1
7366,2.0,3.0,2.5, Single Family,0
7367,1.0,3.0,2.0, Single Family,1
7368,1.0,2.0,2.0, Condominium,3
7369,2.0,3.0,2.5, Condominium,3
7370,2.0,3.0,2.5, Single Family,0
7371,2.0,3.0,2.5, Single Family,0
7372,2.0,3.0,2.5, Single Family,0
7373,2.0,4.0,2.5, Single Family,0
7374,2.0,4.0,2.5, Single Family,0
7375,2.0,4.0,2.5, Single Family,0
7376,1.0,3.0,2.0, Single Family,1
7377,2.0,3.0,2.5, Single Family,0
7378,1.0,3.0,2.0, Single Family,1
7379,1.0,3.0,2.0, Single Family,1
7380,2.0,3.0,2.5, Single Family,0
7381,2.0,4.0,2.5, Single Family,0
7382,1.0,3.0,2.0, Single Family,1
7383,2.0,3.0,2.5, Single Family,0
7384,1.0,3.0,3.0, Single Family,1
7385,2.0,3.0,2.0, Single Family,0
7386,2.0,4.0,2.5, Single Family,0
7387,1.0,5.0,2.5, Single Family,0
7388,2.5,4.0,2.5, Single Family,0
7389,2.0,3.0,2.5, Single Family,0
7390,1.0,3.0,2.0, Single Family,1
7391,2.0,5.0,4.0, Single Family,0
7392,1.0,3.0,1.0, Single Family,1
7393,2.0,4.0,2.5, Single Family,0
7394,2.0,3.0,2.5, Single Family,0
7395,2.0,3.0,2.5, Single Family,0
7396,2.0,5.0,3.5, Single Family,0
7397,2.0,5.0,2.5, Single Family,0
7398,2.0,4.0,2.5, Single Family,0
7399,2.0,4.0,2.5, Single Family,0
7400,1.5,3.0,2.5, Single Family,1
7401,1.0,3.0,2.0, Single Family,1
7402,2.0,3.0,2.0, Single Family,0
7403,2.0,3.0,2.5, Single Family,0
7404,1.5,4.0,2.5, Single Family,0
7405,1.0,3.0,4.0, Single Family,0
7406,2.0,4.0,3.0, Single Family,0
7407,2.0,5.0,5.5, Single Family,0
7408,2.0,5.0,5.0, Single Family,0
7409,1.0,4.0,2.5, Single Family,1
7410,2.0,4.0,3.5, Single Family,0
7411,2.0,3.0,2.5, Single Family,0
7412,1.0,3.0,2.0, Single Family,1
7413,1.0,4.0,2.0, Single Family,1
7414,1.5,5.0,3.0, Single Family,0
7415,1.0,3.0,2.0, Single Family,1
7416,1.5,4.0,3.5, Single Family,0
7417,2.0,4.0,3.5, Single Family,0
7418,2.0,4.0,2.5, Single Family,0
7419,2.0,3.0,2.5, Single Family,0
7420,2.0,4.0,2.5, Single Family,0
7421,2.0,4.0,3.0, Single Family,0
7422,2.0,4.0,3.0, Single Family,0
7423,2.5,5.0,5.5, Single Family,0
7424,2.0,3.0,1.5, Single Family,0
7425,1.0,1.0,1.0, Condominium,3
7426,1.0,2.0,2.0, Condominium,3
7427,1.0,1.0,1.0, Condominium,3
7428,1.0,1.0,1.0, Condominium,3
7429,1.0,1.0,1.0, Condominium,3
7430,1.0,2.0,2.5, Condominium,3
7431,1.0,1.0,1.0, Condominium,3
7432,1.0,1.0,1.0, Condominium,3
7433,1.0,1.0,1.0, Condominium,3
7434,1.0,1.0,1.0, Condominium,3
7435,2.0,3.0,2.5, Single Family,0
7436,1.0,3.0,3.0, Single Family,1
7437,1.0,3.0,2.0, Single Family,1
7438,1.0,2.0,2.0, Condominium,3
7439,2.0,3.0,1.5, Condominium,3
7440,1.0,3.0,2.0, Single Family,1
7441,1.0,3.0,2.0, Single Family,1
7442,1.0,3.0,2.0, Single Family,1
7443,1.0,3.0,1.5, Single Family,1
7444,1.0,3.0,1.0, Single Family,1
7445,2.0,4.0,2.5, Single Family,0
7446,2.0,4.0,3.5, Single Family,0
7447,2.0,5.0,4.0, Single Family,0
7448,2.0,4.0,3.5, Single Family,0
7449,2.0,4.0,4.5, Single Family,0
7450,2.0,5.0,3.5, Single Family,0
7451,2.0,4.0,4.5, Single Family,0
7452,1.5,4.0,4.0, Single Family,0
7453,1.0,3.0,2.0, Condominium,3
7454,1.0,3.0,1.5, Single Family,1
7455,2.0,2.0,1.5, Townhouse,2
7456,2.0,3.0,2.0, Single Family,0
7457,1.0,3.0,2.0, Single Family,1
7458,1.0,2.0,1.0, Single Family,1
7459,1.5,3.0,2.0, Single Family,1
7460,1.0,3.0,2.0, Single Family,1
7461,1.5,3.0,3.0, Single Family,0
7462,1.0,3.0,2.0, Single Family,1
7463,1.0,2.0,1.0, Single Family,1
7464,1.0,3.0,2.0, Single Family,1
7465,1.0,3.0,1.5, Single Family,1
7466,2.0,4.0,2.0, Single Family,0
7467,1.0,3.0,2.0, Single Family,1
7468,2.0,3.0,2.5, Single Family,0
7469,1.0,2.0,1.0, Single Family,1
7470,1.0,2.0,2.0, Condominium,3
7471,2.0,3.0,2.5, Single Family,0
7472,2.0,3.0,2.5, Single Family,0
7473,1.0,3.0,2.5, Single Family,1
7474,2.0,4.0,3.5, Single Family,0
7475,2.0,2.0,2.5, Townhouse,2
7476,2.0,3.0,2.5, Townhouse,2
7477,1.5,3.0,2.0, Single Family,1
7478,1.0,3.0,2.0, Single Family,1
7479,1.0,4.0,2.0, Single Family,1
7480,2.0,2.0,2.0, Condominium,3
7481,2.0,4.0,4.5, Single Family,0
7482,2.0,3.0,2.5, Condominium,3
7483,2.0,3.0,2.5, Condominium,3
7484,2.0,2.0,2.5, Condominium,3
7485,2.0,2.0,2.5, Condominium,3
7486,2.0,2.0,2.5, Condominium,3
7487,2.0,1.0,1.0, Condominium,3
7488,2.0,1.0,1.0, Condominium,3
7489,1.0,2.0,2.0, Condominium,3
7490,1.0,2.0,2.0, Condominium,3
7491,1.0,3.0,2.0, Condominium,3
7492,2.0,3.0,5.0, Single Family,0
7493,2.0,3.0,2.5, Single Family,0
7494,2.0,3.0,2.5, Single Family,0
7495,2.0,3.0,2.5, Single Family,0
7496,2.0,3.0,2.5, Single Family,0
7497,2.0,3.0,2.5, Single Family,0
7498,2.0,3.0,2.5, Single Family,0
7499,2.0,3.0,2.5, Single Family,0
7500,2.0,4.0,2.5, Single Family,0
7501,2.0,4.0,2.5, Single Family,0
7502,2.0,4.0,2.5, Single Family,0
7503,2.0,3.0,3.0, Single Family,0
7504,2.0,4.0,2.5, Townhouse,2
7505,2.0,2.0,2.5, Townhouse,2
7506,2.0,3.0,2.5, Townhouse,2
7507,2.0,4.0,2.5, Single Family,0
7508,2.5,4.0,2.5, Single Family,0
7509,2.0,4.0,3.5, Single Family,0
7510,1.5,3.0,3.5, Single Family,0
7511,2.5,3.0,2.5, Single Family,0
7512,1.0,4.0,2.0, Single Family,1
7513,2.0,3.0,2.5, Single Family,0
7514,2.0,3.0,2.5, Single Family,0
7515,2.0,3.0,2.0, Single Family,0
7516,1.0,2.0,2.0, Condominium,3
7517,2.0,2.0,2.5, Condominium,3
7518,1.5,3.0,3.0, Townhouse,2
7519,2.0,2.0,2.5, Townhouse,2
7520,2.0,3.0,2.5, Townhouse,2
7521,2.0,3.0,2.5, Townhouse,2
7522,2.0,3.0,2.5, Townhouse,2
7523,1.5,2.0,2.0, Single Family,1
7524,2.0,3.0,2.5, Single Family,0
7525,1.0,3.0,2.5, Single Family,1
7526,1.0,2.0,1.0, Single Family,1
7527,1.0,3.0,2.0, Single Family,1
7528,2.0,3.0,2.5, Single Family,0
7529,1.0,3.0,2.0, Single Family,1
7530,2.0,3.0,2.5, Single Family,0
7531,1.0,3.0,2.0, Single Family,1
7532,2.0,3.0,2.5, Single Family,0
7533,2.0,4.0,3.0, Single Family,0
7534,1.5,5.0,5.5, Single Family,0
7535,1.5,3.0,2.0, Townhouse,2
7536,2.0,2.0,2.5, Townhouse,2
7537,2.0,2.0,2.5, Townhouse,2
7538,1.0,3.0,2.0, Single Family,1
7539,2.0,4.0,2.5, Single Family,0
7540,2.0,5.0,3.5, Single Family,0
7541,2.5,3.0,2.5, Townhouse,2
7542,1.0,2.0,1.0, Single Family,1
7543,2.5,3.0,3.5, Condominium,3
7544,2.0,3.0,2.5, Single Family,0
7545,2.0,3.0,2.5, Single Family,0
7546,2.0,3.0,2.5, Single Family,0
7547,2.0,4.0,2.5, Single Family,0
7548,1.0,3.0,2.0, Single Family,1
7549,1.5,3.0,2.0, Single Family,1
7550,1.0,3.0,2.5, Single Family,1
7551,2.0,4.0,3.0, Single Family,0
7552,1.0,3.0,2.0, Single Family,1
7553,1.0,3.0,2.0, Single Family,1
7554,1.0,3.0,1.5, Single Family,1
7555,1.0,3.0,2.0, Single Family,1
7556,1.5,4.0,3.5, Single Family,0
7557,1.0,3.0,2.0, Single Family,1
7558,2.0,4.0,3.5, Single Family,0
7559,2.0,3.0,2.5, Single Family,0
7560,2.0,4.0,2.5, Single Family,0
7561,2.0,4.0,2.5, Single Family,0
7562,1.0,3.0,2.0, Single Family,1
7563,2.0,4.0,2.5, Single Family,0
7564,2.0,5.0,2.5, Single Family,0
7565,2.0,4.0,2.5, Single Family,0
7566,2.0,4.0,2.5, Single Family,0
7567,1.0,3.0,2.0, Single Family,1
7568,1.0,3.0,1.5, Single Family,1
7569,1.5,3.0,2.5, Condominium,3
7570,2.0,3.0,2.5, Single Family,0
7571,1.5,3.0,2.0, Single Family,1
7572,1.0,3.0,2.5, Single Family,1
7573,1.0,3.0,2.0, Single Family,1
7574,1.0,4.0,3.0, Single Family,1
7575,2.0,4.0,2.5, Single Family,0
7576,1.5,4.0,3.5, Single Family,0
7577,2.0,3.0,3.5, Townhouse,2
7578,2.0,2.0,2.5, Townhouse,2
7579,2.0,3.0,2.5, Single Family,0
7580,1.0,4.0,2.0, Single Family,1
7581,1.0,3.0,2.0, Single Family,1
7582,1.0,3.0,2.0, Single Family,1
7583,1.0,3.0,2.0, Single Family,1
7584,1.0,3.0,2.0, Single Family,1
7585,2.0,4.0,2.5, Single Family,0
7586,2.0,4.0,2.5, Single Family,0
7587,2.0,4.0,3.5, Single Family,0
7588,2.0,4.0,3.0, Single Family,0
7589,1.5,3.0,3.0, Single Family,0
7590,1.5,3.0,3.0, Single Family,0
7591,2.0,3.0,2.5, Single Family,0
7592,2.0,3.0,2.5, Single Family,0
7593,1.0,3.0,2.0, Single Family,1
7594,1.0,3.0,2.0, Single Family,1
7595,2.0,3.0,2.5, Single Family,0
7596,2.0,3.0,2.0, Single Family,0
7597,1.0,2.0,1.0, Single Family,1
7598,1.0,2.0,1.0, Condominium,3
7599,2.0,5.0,3.5, Single Family,0
7600,1.0,3.0,2.0, Single Family,1
7601,1.0,3.0,1.5, Single Family,1
7602,2.0,4.0,3.0, Single Family,0
7603,1.0,3.0,2.0, Single Family,1
7604,1.0,3.0,2.0, Single Family,1
7605,2.0,3.0,2.0, Single Family,0
7606,2.0,4.0,3.0, Single Family,0
7607,1.0,3.0,2.0, Single Family,1
7608,1.0,3.0,3.0, Single Family,1
7609,1.0,3.0,1.5, Single Family,1
7610,2.0,3.0,2.5, Single Family,0
7611,1.0,3.0,2.0, Single Family,1
7612,2.0,2.0,2.5, Condominium,3
7613,1.5,3.0,2.5, Single Family,1
7614,2.0,3.0,2.5, Single Family,0
7615,2.0,5.0,3.5, Single Family,0
7616,2.0,4.0,2.5, Single Family,0
7617,2.0,3.0,2.5, Single Family,0
7618,2.0,3.0,2.5, Single Family,0
7619,2.0,3.0,2.5, Single Family,0
7620,2.0,3.0,2.5, Single Family,0
7621,2.0,3.0,2.5, Single Family,0
7622,2.0,3.0,2.5, Single Family,0
7623,2.0,3.0,2.5, Single Family,0
7624,2.0,3.0,2.5, Single Family,0
7625,2.0,3.0,2.5, Single Family,0
7626,2.0,3.0,2.5, Single Family,0
7627,2.0,3.0,2.5, Single Family,0
7628,1.0,3.0,2.0, Single Family,1
7629,1.0,3.0,2.0, Single Family,1
7630,2.0,2.0,2.5, Townhouse,2
7631,1.0,1.0,1.0, Townhouse,2
7632,1.0,1.0,1.0, Townhouse,2
7633,1.0,2.0,2.0, Townhouse,2
7634,1.0,3.0,1.5, Single Family,1
7635,2.0,3.0,2.5, Single Family,0
7636,2.0,3.0,2.5, Single Family,0
7637,2.0,4.0,2.5, Single Family,0
7638,2.5,5.0,6.0, Single Family,0
7639,2.0,4.0,2.5, Single Family,0
7640,1.0,3.0,2.0, Single Family,1
7641,2.0,2.0,2.5, Condominium,3
7642,2.0,4.0,2.5, Single Family,0
7643,2.0,4.0,2.5, Single Family,0
7644,2.0,4.0,2.5, Single Family,0
7645,1.5,4.0,2.5, Single Family,0
7646,2.0,3.0,2.5, Single Family,0
7647,1.0,3.0,2.0, Condominium,3
7648,1.0,3.0,2.0, Condominium,3
7649,1.0,3.0,2.0, Condominium,3
7650,2.0,3.0,2.5, Townhouse,2
7651,2.0,2.0,2.5, Townhouse,2
7652,2.0,4.0,2.5, Single Family,0
7653,2.0,3.0,2.5, Single Family,0
7654,1.5,3.0,2.5, Single Family,1
7655,2.0,3.0,2.5, Single Family,0
7656,2.0,4.0,3.0, Single Family,0
7657,2.0,6.0,6.5, Single Family,0
7658,1.0,4.0,2.0, Single Family,1
7659,2.0,3.0,2.5, Single Family,0
7660,2.0,5.0,3.0, Single Family,0
7661,2.0,3.0,2.5, Single Family,0
7662,2.0,3.0,2.5, Single Family,0
7663,2.0,3.0,2.5, Single Family,0
7664,2.0,4.0,2.5, Single Family,0
7665,2.0,4.0,2.5, Single Family,0
7666,1.0,3.0,2.0, Townhouse,2
7667,1.0,3.0,2.0, Single Family,1
7668,1.0,3.0,2.0, Single Family,1
7669,1.0,3.0,2.0, Single Family,1
7670,2.0,3.0,2.5, Single Family,0
7671,1.5,3.0,2.0, Single Family,1
7672,1.5,3.0,2.5, Single Family,1
7673,1.0,3.0,2.0, Single Family,1
7674,2.0,3.0,2.5, Single Family,0
7675,2.0,4.0,2.5, Single Family,0
7676,2.0,4.0,2.5, Single Family,0
7677,2.0,3.0,2.5, Single Family,0
7678,2.0,4.0,2.5, Single Family,0
7679,1.0,2.0,1.0, Condominium,3
7680,2.5,2.0,2.5, Condominium,3
7681,1.5,3.0,2.0, Single Family,1
7682,2.0,5.0,4.0, Single Family,0
7683,2.0,3.0,2.5, Single Family,0
7684,2.0,3.0,2.5, Single Family,0
7685,1.0,3.0,1.5, Single Family,1
7686,1.0,3.0,1.5, Single Family,1
7687,1.0,3.0,2.0, Single Family,1
7688,2.0,3.0,2.5, Single Family,0
7689,2.0,3.0,2.5, Single Family,0
7690,2.0,3.0,2.5, Single Family,0
7691,2.0,4.0,2.5, Single Family,0
7692,2.0,3.0,2.5, Single Family,0
7693,2.0,4.0,2.5, Single Family,0
7694,1.0,3.0,2.0, Single Family,1
7695,2.0,5.0,2.5, Single Family,0
7696,2.0,5.0,2.5, Single Family,0
7697,2.0,5.0,2.5, Single Family,0
7698,2.0,2.0,1.5, Townhouse,2
7699,2.0,2.0,2.5, Townhouse,2
7700,2.0,2.0,1.5, Townhouse,2
7701,2.0,2.0,1.5, Condominium,3
7702,2.0,3.0,2.5, Condominium,3
7703,2.0,2.0,1.5, Condominium,3
7704,1.5,4.0,2.5, Single Family,0
7705,2.0,4.0,3.5, Single Family,0
7706,2.0,3.0,3.5, Single Family,0
7707,2.0,4.0,4.0, Single Family,0
7708,2.0,5.0,3.5, Single Family,0
7709,2.0,4.0,3.5, Single Family,0
7710,2.0,3.0,2.5, Single Family,0
7711,2.0,4.0,2.5, Single Family,0
7712,2.0,4.0,2.5, Single Family,0
7713,1.5,3.0,2.5, Single Family,1
7714,2.0,3.0,2.5, Single Family,0
7715,1.0,3.0,1.5, Single Family,1
7716,2.0,5.0,2.5, Single Family,0
7717,2.0,3.0,2.5, Single Family,0
7718,2.0,3.0,2.5, Single Family,0
7719,2.0,4.0,2.5, Single Family,0
7720,2.0,3.0,2.5, Single Family,0
7721,2.0,3.0,2.5, Single Family,0
7722,1.5,3.0,3.5, Single Family,0
7723,1.0,3.0,2.0, Single Family,1
7724,2.0,3.0,2.5, Single Family,0
7725,1.5,3.0,2.5, Single Family,1
7726,2.0,3.0,2.5, Single Family,0
7727,2.0,3.0,2.5, Single Family,0
7728,2.0,4.0,2.5, Single Family,0
7729,2.0,3.0,2.5, Single Family,0
7730,2.0,3.0,2.5, Single Family,0
7731,1.0,3.0,2.0, Single Family,1
7732,2.0,3.0,2.5, Single Family,0
7733,2.0,3.0,2.5, Single Family,0
7734,2.0,4.0,2.5, Single Family,0
7735,2.0,3.0,3.5, Single Family,0
7736,2.5,5.0,4.5, Single Family,0
7737,1.0,2.0,1.5, Single Family,1
7738,1.0,3.0,2.0, Single Family,1
7739,1.0,3.0,2.0, Single Family,1
7740,1.0,2.0,1.0, Single Family,1
7741,2.0,3.0,3.0, Single Family,0
7742,1.0,2.0,2.0, Single Family,1
7743,2.0,4.0,2.5, Single Family,0
7744,1.5,5.0,3.0, Single Family,0
7745,2.0,3.0,2.5, Single Family,0
7746,1.0,3.0,1.5, Single Family,1
7747,2.5,7.0,7.5, Single Family,0
7748,2.5,4.0,4.5, Single Family,0
7749,2.5,5.0,4.5, Single Family,0
7750,2.0,5.0,5.5, Single Family,0
7751,1.0,3.0,2.0, Single Family,1
7752,2.0,3.0,3.0, Single Family,0
7753,1.0,3.0,2.0, Single Family,1
7754,2.0,3.0,2.0, Single Family,0
7755,2.0,3.0,3.0, Single Family,0
7756,2.0,3.0,3.0, Single Family,0
7757,2.0,4.0,2.5, Single Family,0
7758,1.0,2.0,2.0, Single Family,1
7759,2.0,3.0,2.5, Single Family,0
7760,1.5,3.0,2.0, Single Family,1
7761,2.0,3.0,2.5, Single Family,0
7762,2.0,4.0,3.0, Single Family,0
7763,2.0,4.0,3.5, Single Family,0
7764,2.0,3.0,2.5, Single Family,0
7765,2.0,3.0,2.5, Single Family,0
7766,2.0,3.0,3.0, Townhouse,2
7767,2.0,4.0,2.5, Single Family,0
7768,1.0,3.0,2.0, Townhouse,2
7769,2.5,2.0,2.5, Townhouse,2
7770,2.0,3.0,2.5, Single Family,0
7771,1.0,3.0,2.0, Single Family,1
7772,1.5,3.0,2.5, Single Family,1
7773,2.0,3.0,2.5, Single Family,0
7774,1.0,2.0,2.0, Single Family,1
7775,2.0,4.0,3.5, Single Family,0
7776,1.0,3.0,2.0, Single Family,1
7777,1.0,2.0,1.5, Single Family,1
7778,1.0,3.0,1.5, Single Family,1
7779,1.0,3.0,2.0, Single Family,1
7780,2.0,4.0,3.5, Condominium,3
7781,2.0,3.0,2.5, Condominium,3
7782,2.0,3.0,2.5, Condominium,3
7783,2.0,3.0,2.5, Condominium,3
7784,2.0,3.0,2.5, Condominium,3
7785,2.0,3.0,2.5, Condominium,3
7786,2.0,3.0,2.5, Condominium,3
7787,2.0,3.0,2.0, Single Family,0
7788,1.0,2.0,1.0, Single Family,1
7789,1.0,2.0,2.0, Condominium,3
7790,2.0,3.0,2.5, Single Family,0
7791,2.0,4.0,3.5, Single Family,0
7792,2.0,4.0,2.0, Single Family,0
7793,2.0,2.0,2.5, Townhouse,2
7794,2.0,2.0,2.5, Townhouse,2
7795,2.0,3.0,2.5, Townhouse,2
7796,2.0,3.0,2.5, Townhouse,2
7797,2.0,2.0,2.5, Townhouse,2
7798,2.0,2.0,2.5, Townhouse,2
7799,2.0,3.0,2.5, Townhouse,2
7800,1.0,3.0,1.0, Single Family,1
7801,1.0,3.0,1.0, Single Family,1
7802,1.0,3.0,1.0, Single Family,1
7803,1.0,4.0,3.5, Single Family,0
7804,1.0,4.0,3.0, Single Family,1
7805,1.0,3.0,2.0, Single Family,1
7806,2.0,4.0,2.5, Single Family,0
7807,2.0,4.0,2.5, Single Family,0
7808,2.0,4.0,2.5, Single Family,0
7809,1.0,3.0,2.0, Single Family,1
7810,2.0,3.0,2.5, Single Family,0
7811,2.0,3.0,2.0, Single Family,0
7812,1.0,3.0,2.0, Single Family,1
7813,2.0,3.0,2.5, Single Family,0
7814,2.0,3.0,2.5, Single Family,0
7815,1.0,3.0,2.0, Single Family,1
7816,2.0,3.0,2.5, Single Family,0
7817,2.0,3.0,2.5, Townhouse,2
7818,2.0,2.0,2.5, Townhouse,2
7819,2.0,2.0,2.5, Townhouse,2
7820,2.0,3.0,2.5, Townhouse,2
7821,2.0,3.0,2.5, Townhouse,2
7822,2.0,3.0,2.5, Townhouse,2
7823,2.0,4.0,3.5, Single Family,0
7824,1.0,3.0,2.0, Single Family,1
7825,1.0,3.0,2.5, Single Family,1
7826,2.0,4.0,2.5, Single Family,0
7827,2.0,4.0,2.5, Single Family,0
7828,2.0,3.0,2.5, Single Family,0
7829,1.0,3.0,2.0, Single Family,1
7830,2.0,4.0,2.5, Single Family,0
7831,2.0,4.0,2.5, Single Family,0
7832,2.0,3.0,2.5, Single Family,0
7833,2.0,4.0,2.5, Single Family,0
7834,1.0,1.0,1.0, Condominium,3
7835,1.0,1.0,1.0, Condominium,3
7836,1.0,1.0,1.0, Condominium,3
7837,1.0,1.0,1.0, Condominium,3
7838,1.0,1.0,1.0, Condominium,3
7839,1.0,1.0,1.0, Condominium,3
7840,2.0,4.0,2.0, Single Family,0
7841,1.0,4.0,3.0, Single Family,1
7842,2.0,3.0,2.5, Single Family,0
7843,2.0,3.0,2.5, Single Family,0
7844,2.0,3.0,2.5, Single Family,0
7845,2.0,3.0,2.5, Single Family,0
7846,2.0,4.0,2.5, Single Family,0
7847,2.0,4.0,3.5, Single Family,0
7848,2.5,4.0,3.5, Single Family,0
7849,1.5,5.0,4.5, Single Family,0
7850,2.0,4.0,2.5, Single Family,0
7851,2.0,4.0,2.5, Single Family,0
7852,2.0,4.0,2.5, Single Family,0
7853,2.0,4.0,3.0, Single Family,0
7854,2.0,2.0,2.5, Townhouse,2
7855,2.0,3.0,2.0, Townhouse,2
7856,2.0,2.0,2.5, Townhouse,2
7857,2.0,2.0,2.5, Townhouse,2
7858,2.0,2.0,2.5, Townhouse,2
7859,1.0,2.0,2.0, Townhouse,2
7860,2.0,3.0,2.0, Townhouse,2
7861,2.0,3.0,2.0, Townhouse,2
7862,1.0,3.0,2.5, Single Family,1
7863,1.0,3.0,3.0, Single Family,1
7864,2.0,3.0,2.5, Single Family,0
7865,2.0,4.0,2.5, Single Family,0
7866,1.0,3.0,2.0, Single Family,1
7867,2.0,4.0,2.5, Single Family,0
7868,1.5,4.0,4.0, Single Family,0
7869,1.0,3.0,1.5, Single Family,1
7870,1.0,3.0,1.5, Single Family,1
7871,1.0,3.0,2.0, Single Family,1
7872,2.0,3.0,2.5, Single Family,0
7873,2.0,3.0,2.5, Single Family,0
7874,1.0,3.0,2.0, Single Family,1
7875,1.0,3.0,2.0, Single Family,1
7876,1.0,3.0,2.0, Single Family,1
7877,1.0,3.0,2.0, Single Family,1
7878,2.0,3.0,2.5, Single Family,0
7879,1.5,3.0,2.0, Single Family,1
7880,1.5,3.0,2.0, Single Family,1
7881,2.0,4.0,2.5, Single Family,0
7882,1.0,3.0,2.0, Single Family,1
7883,1.0,3.0,2.0, Single Family,1
7884,2.0,5.0,3.5, Single Family,0
7885,2.0,4.0,3.5, Single Family,0
7886,1.0,3.0,2.0, Single Family,1
7887,2.0,4.0,2.5, Single Family,0
7888,1.0,2.0,3.0, Single Family,1
7889,2.0,4.0,2.5, Single Family,0
7890,2.0,4.0,3.5, Single Family,0
7891,2.0,3.0,2.5, Single Family,0
7892,1.0,3.0,2.0, Single Family,1
7893,1.0,3.0,1.5, Single Family,1
7894,2.0,3.0,2.0, Single Family,0
7895,1.0,3.0,2.5, Single Family,1
7896,1.0,3.0,1.5, Single Family,1
7897,1.0,2.0,1.0, Single Family,1
7898,1.0,3.0,2.0, Single Family,1
7899,2.5,4.0,3.5, Single Family,0
7900,1.0,3.0,1.0, Single Family,1
7901,1.0,2.0,1.0, Single Family,1
7902,1.0,2.0,2.0, High Rise Condo,4
7903,1.0,2.0,2.0, High Rise Condo,4
7904,1.0,2.0,2.0, Condominium,3
7905,1.0,2.0,2.0, Condominium,3
7906,2.0,4.0,2.5, Single Family,0
7907,2.0,3.0,3.5, Single Family,0
7908,2.0,4.0,3.5, Single Family,0
7909,2.0,4.0,2.5, Single Family,0
7910,2.0,4.0,2.5, Single Family,0
7911,2.0,4.0,2.5, Single Family,0
7912,2.0,3.0,2.5, Single Family,0
7913,2.0,4.0,4.0, Single Family,0
7914,1.0,3.0,3.0, Single Family,1
7915,1.0,3.0,1.5, Single Family,1
7916,1.0,3.0,2.0, Single Family,1
7917,1.0,2.0,2.0, Single Family,1
7918,1.0,3.0,1.0, Single Family,1
7919,1.0,4.0,3.0, Single Family,1
7920,1.0,3.0,1.0, Single Family,1
7921,2.0,4.0,3.5, Single Family,0
7922,2.0,2.0,4.5, Single Family,0
7923,2.0,4.0,4.5, Single Family,0
7924,1.0,3.0,2.0, Single Family,1
7925,1.0,3.0,2.0, Single Family,1
7926,1.5,3.0,3.0, Single Family,0
7927,2.0,2.0,2.0, Single Family,1
7928,1.0,2.0,2.0, Single Family,1
7929,2.0,3.0,3.0, Single Family,0
7930,1.0,2.0,2.0, Single Family,1
7931,1.0,2.0,2.0, Single Family,1
7932,2.0,4.0,2.5, Single Family,0
7933,1.5,4.0,2.5, Single Family,0
7934,2.0,4.0,2.5, Single Family,0
7935,2.0,3.0,2.5, Single Family,0
7936,2.0,4.0,2.5, Single Family,0
7937,2.0,4.0,2.5, Single Family,0
