,Site_Zip,Housing_Type,Cluster
260,28078, Single Family,2
261,28204, Condominium,3
262,28269, Single Family,2
263,28210, Single Family,3
264,28031, Townhouse,1
265,28227, Single Family,2
266,28227, Single Family,2
267,28227, Single Family,2
268,28205, Single Family,2
269,28205, Single Family,2
270,28205, Single Family,2
271,28205, Single Family,2
272,28205, Single Family,2
273,28214, Single Family,2
274,28036, Single Family,2
275,28036, Townhouse,0
276,28269, Single Family,2
277,28269, Single Family,2
278,28227, Single Family,2
279,28105, Single Family,2
280,28211, Single Family,4
281,28031, Single Family,1
282,28203, Single Family,2
283,28203, Single Family,2
284,28203, Single Family,2
285,28203, Single Family,2
286,28203, Single Family,2
287,28031, Condominium,1
288,28031, Condominium,1
289,28031, Single Family,1
290,28278, Single Family,2
291,28212, Single Family,2
292,28212, Single Family,2
293,28277, Single Family,2
294,28277, Single Family,2
295,28277, Single Family,2
296,28215, Single Family,2
297,28203, Single Family,2
298,28036, Single Family,2
299,28269, Townhouse,0
300,28212, Single Family,2
301,28207, Single Family,2
302,28205, Single Family,2
303,28205, Single Family,2
304,28205, Single Family,2
305,28277, Single Family,2
306,28277, Single Family,2
307,28105, Single Family,2
308,28204, Condominium,3
309,28227, Single Family,2
310,28036, Condominium,3
311,28278, Condominium,3
312,28277, Townhouse,0
313,28277, Townhouse,0
314,28277, Single Family,2
315,28270, Condominium,3
316,28105, Single Family,2
317,28269, Single Family,2
318,28227, Single Family,2
319,28226, Single Family,2
320,28226, Single Family,2
321,28278, Single Family,2
322,28278, Single Family,2
323,28269, Single Family,2
324,28227, Single Family,2
325,28227, Single Family,2
326,28273, Single Family,2
327,28202, Condominium,3
328,28211, Single Family,4
329,28269, Single Family,2
330,28211, Single Family,4
331,28205, Single Family,2
332,28211, Single Family,4
333,28262, Single Family,2
334,28202, Condominium,3
335,28202, Condominium,3
336,28226, Single Family,2
337,28227, Condominium,3
338,28227, Single Family,2
339,28212, Single Family,2
340,28211, Single Family,4
341,28211, Single Family,4
342,28211, Single Family,4
343,28205, Single Family,2
344,28262, Single Family,2
345,28205, Single Family,2
346,28211, Single Family,4
347,28202, Condominium,3
348,28210, Condominium,3
349,28210, Condominium,3
350,28202, Condominium,3
351,28202, Condominium,3
352,28216, Single Family,0
353,28078, Single Family,2
354,28078, Single Family,2
355,28078, Townhouse,0
356,28226, Single Family,2
357,28226, Single Family,2
358,28215, Single Family,2
359,28208, Single Family,2
360,28134, Single Family,2
361,28212, Condominium,3
362,28216, Townhouse,0
363,28031, Single Family,1
364,28269, Single Family,2
365,28269, Single Family,2
366,28208, Single Family,2
367,28277, Single Family,2
368,28277, Single Family,2
369,28226, Single Family,2
370,28226, Single Family,2
371,28226, Single Family,2
372,28206, Single Family,2
373,28216, Single Family,0
374,28205, Single Family,2
375,28205, Single Family,2
376,28215, Single Family,2
377,28270, Single Family,2
378,28270, Single Family,2
379,28078, Single Family,2
380,28207, Condominium,3
381,28105, Single Family,2
382,28273, Single Family,2
383,28273, Single Family,2
384,28273, Single Family,2
385,28273, Single Family,2
386,28210, Townhouse,3
387,28215, Single Family,2
388,28270, Single Family,2
389,28270, Single Family,2
390,28269, Single Family,2
391,28269, Single Family,2
392,28269, Single Family,2
393,28078, Single Family,2
394,28078, Single Family,2
395,28213, Single Family,2
396,28031, Condominium,1
397,28031, Townhouse,1
398,28036, Condominium,3
399,28269, Single Family,2
400,28269, Single Family,2
401,28269, Single Family,2
402,28269, Single Family,2
403,28269, Single Family,2
404,28269, Single Family,2
405,28214, Single Family,2
406,28214, Single Family,2
407,28214, Single Family,2
408,28213, Condominium,3
409,28210, Condominium,3
410,28270, Single Family,2
411,28078, Single Family,2
412,28031, Single Family,1
413,28031, Single Family,1
414,28031, Single Family,1
415,28270, Single Family,2
416,28270, Single Family,2
417,28270, Single Family,2
418,28269, Single Family,2
419,28269, Single Family,2
420,28277, Single Family,2
421,28227, Single Family,2
422,28227, Single Family,2
423,28227, Single Family,2
424,28269, Single Family,2
425,28269, Single Family,2
426,28269, Single Family,2
427,28269, Single Family,2
428,28269, Townhouse,0
429,28269, Single Family,2
430,28209, Condominium,3
431,28227, Single Family,2
432,28216, Townhouse,0
433,28216, Townhouse,0
434,28205, Single Family,2
435,28205, Single Family,2
436,28205, Single Family,2
437,28217, Single Family,2
438,28273, Single Family,2
439,28215, Single Family,2
440,28215, Single Family,2
