,Site_Zip,Housing_Type,Cluster
22984,28262, Condominium,3
22985,28262, Condominium,3
22986,28226, Single Family,2
22987,28036, Single Family,2
22988,28205, Single Family,2
22989,28205, Single Family,2
22990,28205, Single Family,2
22991,28270, Single Family,2
22992,28208, Single Family,2
22993,28205, Single Family,2
22994,28216, Single Family,0
22995,28214, Single Family,2
22996,28210, Condominium,3
22997,28031, Single Family,1
22998,28212, Townhouse,0
22999,28262, Single Family,2
23000,28278, Single Family,2
23001,28278, Single Family,2
23002,28278, Single Family,2
23003,28278, Single Family,2
23004,28278, Single Family,2
23005,28278, Single Family,2
23006,28278, Single Family,2
23007,28278, Single Family,2
23008,28278, Single Family,2
23009,28273, Single Family,2
23010,28273, Single Family,2
23011,28227, Single Family,2
23012,28227, Single Family,2
23013,28211, Single Family,4
23014,28211, Single Family,4
23015,28211, Single Family,4
23016,28211, Single Family,4
23017,28031, Single Family,1
23018,28031, Single Family,1
23019,28105, Single Family,2
23020,28105, Single Family,2
23021,28216, Single Family,0
23022,28216, Single Family,0
23023,28216, Single Family,0
23024,28216, Single Family,0
23025,28216, Single Family,0
23026,28216, Single Family,0
23027,28210, Single Family,3
23028,28269, Single Family,2
23029,28269, Single Family,2
23030,28269, Single Family,2
23031,28031, Single Family,1
23032,28262, Single Family,2
23033,28262, Single Family,2
23034,28211, Single Family,4
23035,28211, Single Family,4
23036,28211, Single Family,4
23037,28211, Single Family,4
23038,28211, Single Family,4
23039,28211, Single Family,4
23040,28211, Single Family,4
23041,28211, Single Family,4
23042,28211, Single Family,4
23043,28211, Single Family,4
23044,28211, Single Family,4
23045,28211, Single Family,4
23046,28208, Single Family,2
23047,28208, Single Family,2
23048,28208, Single Family,2
23049,28208, Single Family,2
23050,28208, Single Family,2
23051,28208, Condominium,3
23052,28208, Condominium,3
23053,28208, Condominium,3
23054,28226, Single Family,2
23055,28226, Single Family,2
23056,28226, Single Family,2
23057,28226, Single Family,2
23058,28208, Single Family,2
23059,28208, Single Family,2
23060,28208, Single Family,2
23061,28208, Single Family,2
23062,28214, Single Family,2
23063,28216, Single Family,0
23064,28214, Single Family,2
23065,28078, Single Family,2
23066,28031, Single Family,1
23067,28031, Single Family,1
23068,28214, Single Family,2
23069,28031, Single Family,1
23070,28031, Single Family,1
23071,28031, Single Family,1
23072,28031, Single Family,1
23073,28031, Single Family,1
23074,28031, Single Family,1
23075,28031, Single Family,1
23076,28031, Single Family,1
23077,28031, Single Family,1
23078,28031, Single Family,1
23079,28277, Single Family,2
23080,28277, Single Family,2
23081,28277, Single Family,2
23082,28208, Single Family,2
23083,28208, Single Family,2
23084,28210, Condominium,3
23085,28262, Single Family,2
23086,28262, Single Family,2
23087,28216, Single Family,0
23088,28212, Single Family,2
23089,28213, Single Family,2
23090,28213, Single Family,2
23091,28213, Single Family,2
23092,28269, Single Family,2
23093,28269, Single Family,2
23094,28211, Single Family,4
23095,28211, Single Family,4
23096,28211, Single Family,4
23097,28277, Single Family,2
23098,28277, Single Family,2
23099,28214, Single Family,2
23100,28270, Single Family,2
23101,28270, Single Family,2
23102,28105, Single Family,2
23103,28078, Single Family,2
23104,28270, Single Family,2
23105,28270, Single Family,2
23106,28214, Single Family,2
23107,28273, Single Family,2
23108,28273, Single Family,2
23109,28273, Single Family,2
23110,28273, Single Family,2
23111,28273, Single Family,2
23112,28105, Single Family,2
23113,28105, Single Family,2
23114,28105, Single Family,2
23115,28273, Single Family,2
23116,28105, Single Family,2
23117,28277, Single Family,2
23118,28277, Single Family,2
23119,28205, Condominium,3
23120,28205, Condominium,3
23121,28205, Condominium,3
23122,28205, Condominium,3
23123,28205, Condominium,3
23124,28205, Condominium,3
23125,28205, Condominium,3
23126,28205, Condominium,3
23127,28277, Single Family,2
23128,28209, Single Family,2
23129,28031, Single Family,1
23130,28031, Single Family,1
23131,28031, Single Family,1
23132,28031, Single Family,1
23133,28031, Single Family,1
23134,28031, Single Family,1
23135,28078, Single Family,2
23136,28210, Condominium,3
23137,28270, Single Family,2
23138,28270, Single Family,2
23139,28270, Single Family,2
23140,28270, Single Family,2
23141,28270, Single Family,2
23142,28270, Single Family,2
23143,28203, Single Family,2
23144,28203, Single Family,2
23145,28203, Single Family,2
23146,28203, Single Family,2
23147,28203, Single Family,2
23148,28203, Single Family,2
23149,28203, Single Family,2
23150,28203, Single Family,2
23151,28203, Single Family,2
23152,28203, Single Family,2
23153,28203, Single Family,2
23154,28203, Single Family,2
23155,28203, Condominium,3
23156,28214, Single Family,2
23157,28214, Single Family,2
23158,28214, Single Family,2
23159,28226, Single Family,2
23160,28278, Single Family,2
23161,28278, Single Family,2
23162,28278, Single Family,2
23163,28270, Single Family,2
23164,28204, Condominium,3
23165,28213, Single Family,2
23166,28036, Condominium,3
23167,28105, Single Family,2
23168,28105, Single Family,2
23169,28105, Single Family,2
23170,28105, Single Family,2
23171,28105, Single Family,2
23172,28105, Single Family,2
23173,28105, Single Family,2
23174,28273, Single Family,2
23175,28105, Single Family,2
23176,28105, Single Family,2
23177,28105, Single Family,2
23178,28205, Single Family,2
23179,28215, Condominium,3
23180,28105, Single Family,2
23181,28105, Single Family,2
23182,28205, Single Family,2
23183,28205, Single Family,2
23184,28205, Single Family,2
23185,28205, Single Family,2
23186,28205, Single Family,2
23187,28205, Single Family,2
23188,28205, Single Family,2
23189,28205, Single Family,2
23190,28226, Single Family,2
23191,28226, Single Family,2
23192,28226, Single Family,2
23193,28226, Single Family,2
23194,28278, Single Family,2
23195,28031, Condominium,1
23196,28031, Condominium,1
23197,28031, Condominium,1
23198,28031, Condominium,1
23199,28031, Condominium,1
23200,28226, Single Family,2
23201,28226, Single Family,2
23202,28134, Single Family,2
23203,28134, Single Family,2
23204,28134, Single Family,2
23205,28134, Single Family,2
23206,28205, Single Family,2
23207,28105, Single Family,2
23208,28105, Single Family,2
23209,28105, Single Family,2
23210,28105, Single Family,2
23211,28205, Single Family,2
23212,28205, Single Family,2
23213,28215, Single Family,2
23214,28278, Single Family,2
23215,28278, Single Family,2
23216,28278, Single Family,2
23217,28262, Single Family,2
23218,28262, Single Family,2
23219,28262, Single Family,2
23220,28262, Single Family,2
23221,28262, Single Family,2
23222,28262, Single Family,2
23223,28262, Single Family,2
23224,28262, Single Family,2
23225,28262, Single Family,2
23226,28205, Single Family,2
23227,28226, Single Family,2
23228,28031, Condominium,1
23229,28031, Condominium,1
23230,28105, Single Family,2
23231,28105, Single Family,2
23232,28105, Single Family,2
23233,28277, Single Family,2
23234,28277, Single Family,2
23235,28277, Single Family,2
23236,28277, Single Family,2
23237,28212, Single Family,2
23238,28212, Single Family,2
23239,28226, Single Family,2
23240,28226, Single Family,2
23241,28226, Single Family,2
23242,28226, Single Family,2
23243,28226, Single Family,2
23244,28226, Single Family,2
23245,28226, Single Family,2
23246,28226, Single Family,2
23247,28226, Single Family,2
23248,28226, Single Family,2
23249,28269, Single Family,2
23250,28269, Single Family,2
23251,28269, Single Family,2
23252,28212, Single Family,2
23253,28227, Single Family,2
23254,28227, Single Family,2
23255,28227, Single Family,2
23256,28227, Single Family,2
23257,28227, Single Family,2
23258,28227, Single Family,2
23259,28227, Single Family,2
23260,28227, Single Family,2
23261,28227, Single Family,2
23262,28227, Single Family,2
23263,28227, Single Family,2
23264,28269, Townhouse,0
23265,28269, Townhouse,0
23266,28269, Townhouse,0
23267,28269, Townhouse,0
23268,28214, Single Family,2
23269,28215, Single Family,2
23270,28215, Single Family,2
23271,28216, Single Family,0
23272,28216, Single Family,0
23273,28202, Single Family,3
23274,28202, Single Family,3
23275,28214, Single Family,2
23276,28215, Single Family,2
23277,28277, Single Family,2
23278,28214, Single Family,2
23279,28214, Single Family,2
23280,28036, Single Family,2
23281,28036, Single Family,2
23282,28036, Single Family,2
23283,28214, Single Family,2
23284,28214, Single Family,2
23285,28214, Single Family,2
23286,28214, Single Family,2
23287,28214, Single Family,2
23288,28134, Single Family,2
23289,28134, Single Family,2
23290,28134, Single Family,2
23291,28134, Single Family,2
23292,28134, Single Family,2
23293,28134, Single Family,2
23294,28134, Single Family,2
23295,28134, Single Family,2
23296,28134, Single Family,2
23297,28269, Single Family,2
23298,28269, Single Family,2
23299,28204, Condominium,3
23300,28209, Condominium,3
23301,28215, Single Family,2
23302,28105, Single Family,2
23303,28277, Single Family,2
23304,28213, Single Family,2
23305,28213, Single Family,2
23306,28213, Single Family,2
23307,28105, Single Family,2
23308,28078, Single Family,2
23309,28078, Single Family,2
23310,28078, Single Family,2
23311,28078, Single Family,2
23312,28078, Single Family,2
23313,28078, Single Family,2
23314,28078, Single Family,2
23315,28078, Single Family,2
23316,28078, Single Family,2
23317,28078, Single Family,2
23318,28078, Single Family,2
23319,28078, Single Family,2
23320,28078, Single Family,2
23321,28277, Single Family,2
23322,28277, Single Family,2
23323,28278, Townhouse,0
23324,28278, Townhouse,0
23325,28269, Single Family,2
23326,28217, Single Family,2
23327,28217, Single Family,2
23328,28031, Single Family,1
23329,28273, Single Family,2
23330,28273, Single Family,2
23331,28105, Single Family,2
23332,28217, Single Family,2
23333,28217, Single Family,2
23334,28217, Single Family,2
23335,28105, Single Family,2
23336,28105, Single Family,2
23337,28227, Single Family,2
23338,28227, Single Family,2
23339,28278, Single Family,2
23340,28278, Single Family,2
23341,28031, Single Family,1
23342,28216, Single Family,0
23343,28036, Single Family,2
23344,28215, Single Family,2
23345,28278, Single Family,2
23346,28216, Single Family,0
23347,28214, Single Family,2
23348,28278, Single Family,2
23349,28273, Single Family,2
23350,28036, Single Family,2
23351,28216, Single Family,0
23352,28216, Single Family,0
23353,28134, Single Family,2
23354,28216, Single Family,0
23355,28214, Single Family,2
23356,28270, Single Family,2
23357,28227, Single Family,2
23358,28078, Single Family,2
23359,28078, Single Family,2
23360,28216, Single Family,0
23361,28203, Condominium,3
23362,28203, Condominium,3
23363,28203, Condominium,3
23364,28203, Condominium,3
23365,28203, Condominium,3
23366,28203, Condominium,3
23367,28202, Condominium,3
23368,28202, Condominium,3
23369,28209, Condominium,3
23370,28205, Condominium,3
23371,28205, Condominium,3
23372,28205, Condominium,3
23373,28205, Condominium,3
23374,28205, Condominium,3
23375,28209, Townhouse,0
23376,28212, Townhouse,0
23377,28036, Single Family,2
23378,28208, Single Family,2
23379,28217, Townhouse,0
23380,28217, Townhouse,0
23381,28217, Townhouse,0
23382,28031, Condominium,1
23383,28031, Condominium,1
23384,28031, Condominium,1
23385,28031, Condominium,1
23386,28031, Condominium,1
23387,28031, Condominium,1
23388,28031, Condominium,1
23389,28031, Condominium,1
23390,28031, Condominium,1
23391,28031, Condominium,1
23392,28227, Single Family,2
23393,28031, Condominium,1
23394,28031, Condominium,1
23395,28031, Condominium,1
23396,28031, Condominium,1
23397,28031, Condominium,1
23398,28031, Condominium,1
23399,28031, Condominium,1
23400,28031, Single Family,1
23401,28031, Single Family,1
23402,28031, Townhouse,1
23403,28031, Townhouse,1
23404,28214, Single Family,2
23405,28206, Single Family,2
23406,28215, Single Family,2
23407,28215, Single Family,2
23408,28078, Single Family,2
23409,28078, Single Family,2
23410,28078, Townhouse,0
23411,28105, Single Family,2
23412,28270, Single Family,2
23413,28226, Single Family,2
23414,28226, Single Family,2
23415,28269, Single Family,2
23416,28269, Single Family,2
23417,28208, Single Family,2
23418,28277, Single Family,2
23419,28277, Single Family,2
23420,28277, Single Family,2
23421,28277, Single Family,2
23422,28207, Condominium,3
23423,28207, Condominium,3
23424,28207, Condominium,3
23425,28207, Condominium,3
23426,28207, Condominium,3
23427,28209, Single Family,2
23428,28207, Single Family,2
23429,28269, Single Family,2
23430,28269, Single Family,2
23431,28269, Single Family,2
23432,28215, Single Family,2
23433,28215, Single Family,2
23434,28216, Single Family,0
23435,28216, Single Family,0
23436,28226, Townhouse,0
23437,28205, Single Family,2
23438,28205, Single Family,2
23439,28212, Single Family,2
23440,28205, Single Family,2
23441,28205, Single Family,2
23442,28211, Single Family,4
23443,28211, Single Family,4
23444,28211, Single Family,4
23445,28211, Single Family,4
23446,28212, Single Family,2
23447,28212, Single Family,2
23448,28212, Single Family,2
23449,28212, Single Family,2
23450,28105, Single Family,2
23451,28105, Single Family,2
23452,28205, Townhouse,0
23453,28205, Single Family,2
23454,28205, Townhouse,0
23455,28205, Single Family,2
23456,28205, Townhouse,0
23457,28205, Townhouse,0
23458,28205, Townhouse,0
23459,28205, Townhouse,0
23460,28205, Townhouse,0
23461,28031, Single Family,1
23462,28031, Single Family,1
23463,28031, Single Family,1
23464,28031, Townhouse,1
23465,28031, Townhouse,1
23466,28031, Townhouse,1
23467,28031, Townhouse,1
23468,28031, Townhouse,1
23469,28215, Single Family,2
23470,28227, Single Family,2
23471,28227, Single Family,2
23472,28227, Single Family,2
23473,28269, Single Family,2
23474,28078, Single Family,2
23475,28078, Single Family,2
23476,28078, Single Family,2
23477,28226, Single Family,2
23478,28208, Single Family,2
23479,28262, Single Family,2
23480,28262, Single Family,2
23481,28262, Single Family,2
23482,28262, Single Family,2
23483,28262, Single Family,2
23484,28262, Single Family,2
23485,28262, Single Family,2
23486,28262, Single Family,2
23487,28262, Single Family,2
23488,28262, Single Family,2
23489,28262, Single Family,2
23490,28262, Single Family,2
23491,28262, Single Family,2
23492,28209, Condominium,3
23493,28031, Condominium,1
23494,28031, Condominium,1
23495,28031, Condominium,1
23496,28277, Townhouse,0
23497,28277, Single Family,2
23498,28277, Single Family,2
23499,28277, Single Family,2
23500,28277, Single Family,2
23501,28277, Single Family,2
23502,28277, Single Family,2
23503,28277, Single Family,2
23504,28277, Single Family,2
23505,28277, Single Family,2
23506,28277, Single Family,2
23507,28277, Single Family,2
23508,28277, Single Family,2
23509,28277, Single Family,2
23510,28277, Single Family,2
23511,28277, Single Family,2
23512,28277, Single Family,2
23513,28277, Single Family,2
23514,28277, Single Family,2
23515,28277, Single Family,2
23516,28277, Single Family,2
23517,28277, Single Family,2
23518,28277, Single Family,2
23519,28277, Townhouse,0
23520,28277, Townhouse,0
23521,28277, Single Family,2
23522,28277, Single Family,2
23523,28277, Single Family,2
23524,28277, Single Family,2
23525,28277, Single Family,2
23526,28277, Single Family,2
23527,28207, Condominium,3
23528,28203, Condominium,3
23529,28203, Condominium,3
23530,28203, Condominium,3
23531,28227, Single Family,2
23532,28227, Single Family,2
23533,28227, Single Family,2
23534,28207, Condominium,3
23535,28207, Condominium,3
23536,28269, Single Family,2
23537,28269, Single Family,2
23538,28269, Single Family,2
23539,28269, Single Family,2
23540,28209, Single Family,2
23541,28269, Townhouse,0
23542,28269, Single Family,2
23543,28269, Single Family,2
23544,28227, Single Family,2
23545,28209, Single Family,2
23546,28209, Single Family,2
23547,28209, Condominium,3
23548,28227, Single Family,2
23549,28227, Single Family,2
23550,28278, Single Family,2
23551,28278, Single Family,2
23552,28105, Single Family,2
23553,28105, Single Family,2
23554,28105, Single Family,2
23555,28105, Single Family,2
23556,28105, Single Family,2
23557,28105, Single Family,2
23558,28105, Single Family,2
23559,28105, Single Family,2
23560,28105, Single Family,2
23561,28105, Single Family,2
23562,28105, Single Family,2
23563,28105, Single Family,2
23564,28105, Single Family,2
23565,28105, Single Family,2
23566,28105, Single Family,2
23567,28208, Single Family,2
23568,28078, Single Family,2
23569,28203, Condominium,3
23570,28203, Condominium,3
23571,28277, Single Family,2
23572,28277, Single Family,2
23573,28277, Single Family,2
23574,28213, Single Family,2
23575,28213, Single Family,2
23576,28213, Single Family,2
23577,28269, Townhouse,0
23578,28269, Townhouse,0
23579,28269, Townhouse,0
23580,28269, Townhouse,0
23581,28215, Single Family,2
23582,28215, Single Family,2
23583,28215, Single Family,2
23584,28215, Single Family,2
23585,28215, Single Family,2
23586,28269, Single Family,2
23587,28269, Single Family,2
23588,28269, Single Family,2
23589,28269, Single Family,2
23590,28269, Single Family,2
23591,28211, Single Family,4
23592,28211, Single Family,4
23593,28211, Condominium,4
23594,28211, Condominium,4
23595,28210, Single Family,3
23596,28273, Single Family,2
23597,28273, Single Family,2
23598,28273, Single Family,2
23599,28273, Single Family,2
23600,28273, Townhouse,0
23601,28273, Townhouse,0
23602,28273, Townhouse,0
23603,28273, Townhouse,0
23604,28273, Townhouse,0
23605,28273, Townhouse,0
23606,28273, Townhouse,0
23607,28273, Townhouse,0
23608,28273, Townhouse,0
23609,28273, Townhouse,0
23610,28273, Townhouse,0
23611,28273, Townhouse,0
23612,28273, Townhouse,0
23613,28273, Townhouse,0
23614,28273, Townhouse,0
23615,28273, Townhouse,0
23616,28273, Townhouse,0
23617,28273, Townhouse,0
23618,28273, Townhouse,0
23619,28273, Townhouse,0
23620,28269, Single Family,2
23621,28209, Single Family,2
23622,28209, Single Family,2
23623,28213, Single Family,2
23624,28213, Single Family,2
23625,28213, Single Family,2
23626,28213, Single Family,2
23627,28213, Single Family,2
23628,28213, Single Family,2
23629,28213, Single Family,2
23630,28213, Single Family,2
23631,28031, Single Family,1
23632,28031, Single Family,1
23633,28270, Single Family,2
23634,28270, Single Family,2
23635,28036, Single Family,2
23636,28036, Single Family,2
23637,28036, Single Family,2
23638,28036, Single Family,2
23639,28036, Single Family,2
23640,28031, Single Family,1
23641,28227, Single Family,2
23642,28227, Single Family,2
23643,28227, Single Family,2
23644,28227, Single Family,2
23645,28227, Single Family,2
23646,28227, Single Family,2
23647,28227, Single Family,2
23648,28277, Single Family,2
23649,28277, Single Family,2
23650,28277, Single Family,2
23651,28277, Single Family,2
23652,28277, Single Family,2
23653,28277, Townhouse,0
23654,28277, Townhouse,0
23655,28277, Single Family,2
23656,28277, Single Family,2
23657,28277, Single Family,2
23658,28277, Single Family,2
23659,28277, Single Family,2
23660,28277, Single Family,2
23661,28277, Single Family,2
23662,28277, Single Family,2
23663,28277, Single Family,2
23664,28277, Single Family,2
23665,28277, Single Family,2
23666,28277, Single Family,2
23667,28277, Single Family,2
23668,28277, Single Family,2
23669,28277, Single Family,2
23670,28277, Single Family,2
23671,28277, Single Family,2
23672,28277, Single Family,2
23673,28277, Single Family,2
23674,28277, Single Family,2
23675,28277, Townhouse,0
23676,28277, Townhouse,0
23677,28277, Townhouse,0
23678,28277, Townhouse,0
23679,28277, Townhouse,0
23680,28277, Townhouse,0
23681,28277, Townhouse,0
23682,28277, Townhouse,0
23683,28277, Townhouse,0
23684,28277, Single Family,2
23685,28277, Single Family,2
23686,28277, Single Family,2
23687,28277, Single Family,2
23688,28277, Single Family,2
23689,28277, Single Family,2
23690,28277, Single Family,2
23691,28277, Single Family,2
23692,28277, Single Family,2
23693,28277, Single Family,2
23694,28277, Single Family,2
23695,28277, Single Family,2
23696,28277, Single Family,2
23697,28210, Single Family,3
23698,28210, Single Family,3
23699,28277, Single Family,2
23700,28211, Single Family,4
23701,28211, Single Family,4
23702,28209, Single Family,2
23703,28211, Single Family,4
23704,28211, Single Family,4
23705,28211, Single Family,4
23706,28209, Single Family,2
23707,28209, Single Family,2
23708,28209, Single Family,2
23709,28209, Single Family,2
23710,28078, Single Family,2
23711,28078, Single Family,2
23712,28078, Single Family,2
23713,28078, Single Family,2
23714,28078, Single Family,2
23715,28078, Single Family,2
23716,28078, Single Family,2
23717,28227, Single Family,2
23718,28226, Single Family,2
23719,28226, Single Family,2
23720,28226, Single Family,2
23721,28212, Single Family,2
23722,28031, Condominium,1
23723,28216, Single Family,0
23724,28227, Single Family,2
23725,28227, Single Family,2
23726,28227, Single Family,2
23727,28215, Single Family,2
23728,28215, Single Family,2
23729,28208, Single Family,2
23730,28210, Single Family,3
23731,28278, Townhouse,0
23732,28270, Single Family,2
23733,28270, Single Family,2
23734,28270, Single Family,2
23735,28226, Single Family,2
23736,28226, Single Family,2
23737,28269, Single Family,2
23738,28269, Single Family,2
23739,28270, Single Family,2
23740,28214, Single Family,2
23741,28214, Single Family,2
23742,28214, Single Family,2
23743,28205, Single Family,2
23744,28205, Single Family,2
23745,28205, Single Family,2
23746,28273, Townhouse,0
23747,28210, Condominium,3
23748,28227, Townhouse,0
23749,28270, Single Family,2
23750,28270, Single Family,2
23751,28105, Single Family,2
23752,28278, Townhouse,0
23753,28278, Townhouse,0
23754,28278, Townhouse,0
23755,28278, Townhouse,0
23756,28278, Single Family,2
23757,28278, Single Family,2
23758,28278, Single Family,2
23759,28278, Single Family,2
23760,28278, Single Family,2
23761,28278, Single Family,2
23762,28278, Single Family,2
23763,28278, Single Family,2
23764,28278, Single Family,2
23765,28278, Single Family,2
23766,28278, Single Family,2
23767,28278, Single Family,2
23768,28278, Single Family,2
23769,28278, Single Family,2
23770,28278, Single Family,2
23771,28278, Single Family,2
23772,28278, Single Family,2
23773,28278, Single Family,2
23774,28278, Single Family,2
23775,28278, Single Family,2
23776,28278, Single Family,2
23777,28278, Single Family,2
23778,28278, Single Family,2
23779,28278, Single Family,2
23780,28278, Single Family,2
23781,28278, Single Family,2
23782,28278, Single Family,2
23783,28278, Single Family,2
23784,28278, Single Family,2
23785,28278, Single Family,2
23786,28278, Single Family,2
23787,28278, Single Family,2
23788,28278, Single Family,2
23789,28278, Single Family,2
23790,28278, Single Family,2
23791,28278, Townhouse,0
23792,28278, Townhouse,0
23793,28277, Single Family,2
23794,28277, Single Family,2
23795,28277, Single Family,2
23796,28277, Single Family,2
23797,28277, Single Family,2
23798,28277, Single Family,2
23799,28277, Single Family,2
23800,28277, Single Family,2
23801,28277, Single Family,2
23802,28277, Single Family,2
23803,28277, Single Family,2
23804,28277, Single Family,2
23805,28277, Townhouse,0
23806,28277, Townhouse,0
23807,28277, Townhouse,0
23808,28277, Townhouse,0
23809,28213, Single Family,2
23810,28213, Single Family,2
23811,28213, Single Family,2
23812,28213, Single Family,2
23813,28227, Single Family,2
23814,28277, Single Family,2
23815,28277, Single Family,2
23816,28277, Single Family,2
23817,28270, Townhouse,0
23818,28270, Townhouse,0
23819,28270, Townhouse,0
23820,28270, Townhouse,0
23821,28270, Townhouse,0
23822,28270, Townhouse,0
23823,28270, Townhouse,0
23824,28270, Townhouse,0
23825,28270, Townhouse,0
23826,28205, Single Family,2
23827,28205, Single Family,2
23828,28205, Single Family,2
23829,28205, Single Family,2
23830,28210, Single Family,3
23831,28210, Single Family,3
23832,28210, Single Family,3
23833,28210, Single Family,3
23834,28210, Single Family,3
23835,28210, Single Family,3
23836,28210, Single Family,3
23837,28210, Single Family,3
23838,28210, Single Family,3
23839,28210, Single Family,3
23840,28210, Single Family,3
23841,28210, Single Family,3
23842,28210, Single Family,3
23843,28210, Single Family,3
23844,28210, Single Family,3
23845,28210, Single Family,3
23846,28210, Single Family,3
23847,28210, Single Family,3
23848,28210, Single Family,3
23849,28277, Single Family,2
23850,28277, Single Family,2
23851,28277, Single Family,2
23852,28277, Single Family,2
23853,28216, Townhouse,0
23854,28205, Single Family,2
23855,28078, Single Family,2
23856,28078, Single Family,2
23857,28078, Single Family,2
23858,28078, Single Family,2
23859,28205, Condominium,3
23860,28078, Single Family,2
23861,28078, Single Family,2
23862,28078, Single Family,2
23863,28078, Single Family,2
23864,28078, Single Family,2
23865,28078, Single Family,2
23866,28078, Single Family,2
23867,28078, Single Family,2
23868,28078, Single Family,2
23869,28078, Single Family,2
23870,28078, Single Family,2
23871,28078, Single Family,2
23872,28078, Single Family,2
23873,28078, Single Family,2
23874,28078, Single Family,2
23875,28078, Single Family,2
23876,28078, Single Family,2
23877,28078, Single Family,2
23878,28227, Single Family,2
23879,28227, Single Family,2
23880,28031, Single Family,1
23881,28031, Single Family,1
23882,28270, Single Family,2
23883,28270, Townhouse,0
23884,28277, Townhouse,0
23885,28277, Townhouse,0
23886,28277, Townhouse,0
23887,28277, Townhouse,0
23888,28277, Single Family,2
23889,28277, Townhouse,0
23890,28277, Townhouse,0
23891,28277, Townhouse,0
23892,28277, Townhouse,0
23893,28277, Townhouse,0
23894,28277, Townhouse,0
23895,28277, Townhouse,0
23896,28277, Townhouse,0
23897,28277, Townhouse,0
23898,28277, Townhouse,0
23899,28226, Single Family,2
23900,28226, Single Family,2
23901,28226, Single Family,2
23902,28226, Single Family,2
23903,28226, Single Family,2
23904,28203, Condominium,3
23905,28031, Single Family,1
23906,28031, Single Family,1
23907,28031, Single Family,1
23908,28031, Single Family,1
23909,28031, Single Family,1
23910,28216, Single Family,0
23911,28036, Condominium,3
23912,28031, Single Family,1
23913,28208, Single Family,2
23914,28277, Townhouse,0
23915,28277, Townhouse,0
23916,28277, Townhouse,0
23917,28031, Single Family,1
23918,28215, Single Family,2
23919,28215, Single Family,2
23920,28215, Single Family,2
23921,28215, Single Family,2
23922,28270, Single Family,2
23923,28273, Single Family,2
23924,28215, Single Family,2
23925,28215, Single Family,2
23926,28215, Single Family,2
23927,28215, Single Family,2
23928,28215, Single Family,2
23929,28215, Single Family,2
23930,28215, Single Family,2
23931,28215, Single Family,2
23932,28215, Single Family,2
23933,28215, Single Family,2
23934,28215, Single Family,2
23935,28215, Single Family,2
23936,28215, Single Family,2
23937,28215, Single Family,2
23938,28215, Single Family,2
23939,28036, Single Family,2
23940,28036, Single Family,2
23941,28205, Single Family,2
23942,28205, Single Family,2
23943,28210, Single Family,3
23944,28210, Single Family,3
23945,28210, Single Family,3
23946,28210, Single Family,3
23947,28210, Single Family,3
23948,28210, Single Family,3
23949,28210, Single Family,3
23950,28211, Single Family,4
23951,28105, Single Family,2
23952,28105, Single Family,2
23953,28105, Single Family,2
23954,28227, Condominium,3
23955,28227, Condominium,3
23956,28215, Single Family,2
23957,28215, Single Family,2
23958,28078, Single Family,2
23959,28078, Single Family,2
23960,28078, Single Family,2
23961,28078, Single Family,2
23962,28078, Single Family,2
23963,28270, Single Family,2
23964,28270, Single Family,2
23965,28270, Single Family,2
23966,28270, Single Family,2
23967,28205, MultiFamily,3
23968,28205, Condominium,3
23969,28205, Single Family,2
23970,28205, Single Family,2
23971,28205, Single Family,2
23972,28215, Single Family,2
23973,28207, Single Family,2
23974,28207, Single Family,2
23975,28207, Single Family,2
23976,28207, Single Family,2
23977,28215, Single Family,2
23978,28211, Single Family,4
23979,28211, Single Family,4
23980,28277, Single Family,2
23981,28277, Single Family,2
23982,28277, Single Family,2
23983,28277, Single Family,2
23984,28277, Single Family,2
23985,28277, Single Family,2
23986,28277, Single Family,2
23987,28277, Single Family,2
23988,28277, Single Family,2
23989,28277, Single Family,2
23990,28277, Single Family,2
23991,28277, Single Family,2
23992,28277, Townhouse,0
23993,28031, Single Family,1
23994,28269, Single Family,2
23995,28269, Single Family,2
23996,28134, Single Family,2
23997,28134, Single Family,2
23998,28134, Single Family,2
23999,28134, Single Family,2
24000,28134, Single Family,2
24001,28134, Single Family,2
24002,28215, Single Family,2
24003,28215, Single Family,2
24004,28215, Single Family,2
24005,28262, Single Family,2
24006,28262, Single Family,2
24007,28262, Single Family,2
24008,28262, Single Family,2
24009,28262, Single Family,2
24010,28262, Single Family,2
24011,28262, Single Family,2
24012,28105, Single Family,2
24013,28105, Single Family,2
24014,28105, Single Family,2
24015,28105, Single Family,2
24016,28105, Single Family,2
24017,28105, Single Family,2
24018,28105, Single Family,2
24019,28105, Single Family,2
24020,28105, Single Family,2
24021,28105, Single Family,2
24022,28105, Single Family,2
24023,28105, Single Family,2
24024,28277, Single Family,2
24025,28209, Single Family,2
24026,28207, Condominium,3
24027,28208, Single Family,2
24028,28216, Single Family,0
24029,28216, Single Family,0
24030,28214, Single Family,2
24031,28214, Single Family,2
24032,28214, Single Family,2
24033,28214, Single Family,2
24034,28214, Single Family,2
24035,28269, Single Family,2
24036,28269, Single Family,2
24037,28269, Single Family,2
24038,28269, Single Family,2
24039,28269, Single Family,2
24040,28269, Single Family,2
24041,28269, Single Family,2
24042,28269, Single Family,2
24043,28036, Condominium,3
24044,28036, Condominium,3
24045,28269, Single Family,2
24046,28269, Single Family,2
24047,28269, Single Family,2
24048,28215, Single Family,2
24049,28215, Single Family,2
