Stories,Bedrooms,Bathrooms,Housing_Type,Site_Zip,Housing_Age
1,2,1, Single Family,28227,83
2,3,2, Townhouse,28277,24
2,3,2, Single Family,28031,27
2,4,2, Single Family,28215,14
1,3,2, Single Family,28215,23
1,4,2, Single Family,28215,30
2,3,2, Single Family,28215,31
2,4,2, Single Family,28215,29
2,3,2, Single Family,28215,26
2,3,2, Single Family,28215,24
2,3,2, Single Family,28215,27
2,3,2, Single Family,28215,26
1,3,2, Single Family,28215,23
2,4,3, Single Family,28036,15
1,3,2, Single Family,28210,46
2,3,2, Single Family,28210,47
2,3,4, Single Family,28211,9
1,2,2, Condominium,28227,39
1,2,2, Condominium,28227,39
2,3,2, Single Family,28215,27
2,4,3, Single Family,28215,33
2,3,2, Single Family,28215,19
2,4,2, Single Family,28270,25
2,3,4, Single Family,28207,91
2,5,4, Single Family,28277,17
2,5,4, Single Family,28277,20
2,4,2, Single Family,28269,25
2,4,2, Single Family,28269,24
2,4,2, Single Family,28262,6
2,3,2, Single Family,28262,15
2,4,2, Single Family,28105,32
2,2,3, Townhouse,28227,10
2,3,3, Townhouse,28227,16
2,3,2, Townhouse,28227,4
2,3,2, Townhouse,28227,4
1,3,1, Single Family,28209,67
1,3,1, Single Family,28209,67
1,2,1, Single Family,28209,67
1,3,1, Single Family,28208,59
2,3,2, Single Family,28214,22
2,3,2, Single Family,28214,18
2,4,2, Single Family,28214,14
1,3,2, Single Family,28215,32
2,4,4, Single Family,28211,16
2,4,2, Single Family,28269,33
2,4,2, Single Family,28269,34
1,3,2, Single Family,28269,28
2,3,3, Condominium,28036,13
2,3,2, Townhouse,28208,5
2,3,2, Single Family,28215,15
2,3,2, Single Family,28215,16
2,3,2, Single Family,28215,15
1,3,1, Single Family,28205,111
2,4,3, Townhouse,28226,17
2,4,3, Townhouse,28226,20
1,3,2, Single Family,28214,60
2,2,3, Single Family,28205,34
2,4,3, Single Family,28036,27
2,5,3, Single Family,28277,21
2,3,2, Single Family,28213,11
2,2,2, Townhouse,28031,15
2,3,2, Single Family,28031,15
2,4,2, Single Family,28031,8
2,3,2, Single Family,28031,16
2,2,2, Townhouse,28031,15
2,3,2, Townhouse,28031,16
1,3,2, Single Family,28105,22
2,2,2, Townhouse,28273,13
2,3,2, Townhouse,28273,13
2,3,2, Townhouse,28273,12
2,2,2, Townhouse,28273,11
2,3,2, Townhouse,28273,16
2,2,2, Townhouse,28273,15
2,2,2, Townhouse,28273,16
2,4,2, Single Family,28078,22
2,4,2, Single Family,28078,23
2,4,2, Single Family,28078,25
2,3,2, Single Family,28269,22
2,4,2, Single Family,28078,19
2,4,3, Single Family,28270,27
2,3,2, Single Family,28210,32
2,4,2, Single Family,28210,29
2,4,2, Single Family,28210,29
2,3,2, Single Family,28212,37
2,4,2, Single Family,28226,46
1,5,2, Single Family,28226,45
2,3,2, Single Family,98101,16
1,3,2, Single Family,28216,22
1,3,2, Single Family,28216,21
1,3,2, Single Family,28216,21
1,4,3, Single Family,28031,23
1,3,2, Single Family,28134,21
2,3,2, Single Family,28134,19
2,4,2, Single Family,28134,22
2,5,2, Single Family,28277,22
2,3,2, Condominium,28226,47
2,2,2, Condominium,28226,37
2,4,3, Single Family,28226,23
2,2,1, Townhouse,28226,39
2,3,2, Townhouse,28226,42
1,3,2, Townhouse,28226,43
2,3,2, Townhouse,28226,37
2,2,2, Townhouse,28134,12
2,2,2, Townhouse,28134,15
2,4,3, Single Family,28134,9
2,2,1, Condominium,28217,53
2,2,2, Single Family,28078,15
1,3,2, Single Family,28078,16
1,3,2, Single Family,28216,27
1,3,2, Single Family,28226,35
1,2,2, Single Family,28226,37
1,3,2, Single Family,28226,34
2,4,3, Single Family,28078,18
