,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
22274,28078,2.0,213000,3.0, Townhouse,4
22275,28078,2.0,219000,3.0, Townhouse,4
22276,28227,1.0,132000,3.0, Single Family,3
22277,28202,2.5,221000,3.0, Condominium,1
22278,28208,1.0,185000,2.0, Single Family,0
22279,28216,1.0,98500,3.0, Single Family,0
22280,28216,1.0,90000,3.0, Single Family,0
22281,28216,1.0,125000,4.0, Single Family,0
22282,28208,1.0,82000,2.0, Single Family,0
22283,28208,1.0,88000,2.0, Single Family,0
22284,28206,1.0,64500,3.0, Single Family,0
22285,28105,2.0,260000,4.0, Single Family,0
22286,28105,2.0,295000,5.0, Single Family,0
22287,28105,1.0,250000,3.0, Single Family,0
22288,28105,2.0,266000,4.0, Single Family,0
22289,28105,1.0,220000,3.0, Single Family,0
22290,28214,2.0,147000,4.0, Single Family,0
22291,28214,1.0,130000,3.0, Single Family,0
22292,28214,2.0,145000,3.0, Single Family,0
22293,28209,2.5,255000,2.0, Condominium,4
22294,28209,2.5,248000,2.0, Condominium,4
22295,28270,2.0,323000,4.0, Single Family,0
22296,28036,1.0,266000,3.0, Condominium,4
22297,28036,1.0,310000,3.0, Condominium,4
22298,28227,1.0,128500,3.0, Single Family,3
22299,28036,1.0,225000,2.0, Condominium,4
22300,28210,2.0,347000,4.0, Condominium,4
22301,28210,2.0,314500,3.0, Condominium,4
22302,28210,2.0,321500,3.0, Condominium,4
22303,28209,1.0,122500,3.0, Single Family,0
22304,28209,1.5,442000,3.0, Single Family,0
22305,28210,1.0,160000,2.0, Condominium,4
22306,28202,1.0,399000,2.0, High Rise Condo,1
22307,28211,2.5,1410000,4.0, Single Family,2
22308,28277,1.5,236000,3.0, Single Family,0
22309,28277,2.0,247000,4.0, Single Family,0
22310,28277,1.0,198000,3.0, Single Family,0
22311,28277,2.0,233000,3.0, Single Family,0
22312,28277,2.0,255000,4.0, Single Family,0
22313,28277,2.0,265000,4.0, Single Family,0
22314,28277,2.0,322000,4.0, Single Family,0
22315,28277,2.0,325000,5.0, Single Family,0
22316,28277,2.0,311000,4.0, Single Family,0
22317,28277,2.0,254000,3.0, Single Family,0
22318,28277,2.0,317000,4.0, Single Family,0
22319,28277,2.0,235000,3.0, Single Family,0
22320,28277,2.0,210000,3.0, Single Family,0
22321,28277,2.0,307000,5.0, Single Family,0
22322,28277,2.0,310000,4.0, Single Family,0
22323,28277,2.0,284000,4.0, Single Family,0
22324,28277,2.0,171000,2.0, Townhouse,4
22325,28277,2.0,185000,2.0, Townhouse,4
22326,28277,2.0,168000,2.0, Townhouse,4
22327,28277,2.0,180000,3.0, Townhouse,4
22328,28277,2.0,180000,3.0, Townhouse,4
22329,28277,2.0,197000,3.0, Townhouse,4
22330,28277,2.0,186000,2.0, Townhouse,4
22331,28277,2.0,171000,3.0, Townhouse,4
22332,28277,2.0,166750,3.0, Townhouse,4
22333,28203,1.0,275000,2.0, Condominium,4
22334,28203,2.5,400000,3.0, Townhouse,4
22335,28203,2.5,389000,3.0, Townhouse,4
22336,28203,1.0,180000,1.0, Townhouse,4
22337,28273,1.0,175000,3.0, Single Family,0
22338,28273,1.0,149000,3.0, Single Family,0
22339,28273,2.0,165000,3.0, Single Family,0
22340,28273,1.0,168000,3.0, Single Family,0
22341,28273,2.0,215000,4.0, Single Family,0
22342,28277,1.0,195000,2.0, Townhouse,4
22343,28277,1.0,225000,3.0, Single Family,0
22344,28277,2.0,162000,2.0, Townhouse,4
22345,28277,2.0,169000,3.0, Townhouse,4
22346,28277,2.0,191500,3.0, Townhouse,4
22347,28277,2.0,140000,2.0, Townhouse,4
22348,28210,1.0,270000,2.0, Condominium,4
22349,28210,1.0,207500,1.0, Condominium,4
22350,28210,1.0,381500,3.0, Condominium,4
22351,28036,1.0,230000,2.0, Condominium,4
22352,28277,1.0,198000,3.0, Single Family,0
22353,28277,2.0,250000,4.0, Single Family,0
22354,28277,2.0,239000,3.0, Single Family,0
22355,28277,1.0,214000,3.0, Single Family,0
22356,28277,2.0,246500,4.0, Single Family,0
22357,28277,1.0,193000,3.0, Single Family,0
22358,28277,1.0,230000,3.0, Single Family,0
22359,28277,1.0,210000,3.0, Single Family,0
22360,28105,2.0,461000,5.0, Single Family,0
22361,28105,2.0,244000,4.0, Single Family,0
22362,28105,2.0,210000,4.0, Single Family,0
22363,28105,2.0,249000,4.0, Single Family,0
22364,28208,1.0,55000,2.0, Single Family,0
22365,28227,1.0,131000,3.0, Single Family,3
22366,28036,1.0,315000,3.0, Single Family,0
22367,28036,2.0,217000,3.0, Condominium,4
22368,28214,1.0,124500,3.0, Single Family,0
22369,28217,1.0,139000,3.0, Single Family,0
22370,28214,2.0,130000,3.0, Single Family,0
22371,28212,1.0,50000,2.0, Condominium,4
22372,28269,2.0,198000,4.0, Single Family,0
22373,28269,2.0,233000,4.0, Single Family,0
22374,28269,2.0,225500,4.0, Single Family,0
22375,28269,2.0,185000,3.0, Single Family,0
22376,28210,1.0,256000,4.0, Single Family,0
22377,28210,1.0,236000,3.0, Single Family,0
22378,28210,1.0,247000,3.0, Single Family,0
22379,28210,1.0,305000,3.0, Single Family,0
22380,28210,1.0,307000,3.0, Single Family,0
22381,28210,1.0,300000,3.0, Single Family,0
22382,28210,1.0,305000,3.0, Single Family,0
22383,28210,1.0,215000,3.0, Single Family,0
22384,28269,2.0,142000,3.0, Single Family,0
22385,28269,2.0,147000,3.0, Single Family,0
22386,28269,1.0,140000,3.0, Single Family,0
22387,28217,1.0,45000,2.0, Single Family,0
22388,28217,1.0,48000,2.0, Single Family,0
22389,28217,1.0,49000,2.0, Single Family,0
22390,28202,2.0,227000,2.0, Condominium,1
22391,28202,2.0,220000,2.0, Condominium,1
22392,28202,1.0,169000,1.0, Condominium,1
22393,28269,2.0,215000,3.0, Single Family,0
22394,28269,2.0,210100,3.0, Single Family,0
22395,28226,2.5,343000,3.0, Townhouse,4
22396,28226,2.5,380000,3.0, Townhouse,4
22397,28105,1.0,190000,3.0, Single Family,0
22398,28205,1.0,240000,3.0, Single Family,0
22399,28105,2.0,198000,3.0, Single Family,0
22400,28105,2.0,187000,3.0, Single Family,0
22401,28227,2.0,270000,5.0, Single Family,3
22402,28227,2.0,280000,5.0, Single Family,3
22403,28209,1.0,235000,2.0, Townhouse,4
22404,28202,2.0,161500,1.0, Condominium,1
22405,28226,2.5,458000,4.0, Single Family,0
22406,28210,1.0,196000,3.0, Single Family,0
22407,28210,1.0,205000,3.0, Single Family,0
22408,28210,1.0,157000,3.0, Single Family,0
22409,28210,1.0,215000,3.0, Single Family,0
22410,28210,1.0,240000,3.0, Single Family,0
22411,28210,1.0,130000,3.0, Single Family,0
22412,28210,2.0,249000,3.0, Single Family,0
22413,28210,1.0,245000,3.0, Single Family,0
22414,28210,1.0,215000,3.0, Single Family,0
22415,28210,1.0,198000,3.0, Single Family,0
22416,28210,1.0,157000,3.0, Single Family,0
22417,28210,1.0,230000,3.0, Single Family,0
22418,28210,1.0,185000,3.0, Single Family,0
22419,28210,1.0,192500,3.0, Single Family,0
22420,28210,1.0,205000,3.0, Single Family,0
22421,28210,1.0,185000,3.0, Single Family,0
22422,28210,1.0,186000,3.0, Single Family,0
22423,28210,1.0,175000,3.0, Single Family,0
22424,28210,2.0,218000,4.0, Single Family,0
22425,28210,1.0,280000,3.0, Single Family,0
22426,28210,1.0,161000,3.0, Single Family,0
22427,28210,1.0,224000,3.0, Single Family,0
22428,28206,1.0,55000,3.0, Single Family,0
22429,28205,2.0,225000,2.0, Townhouse,4
22430,28205,2.0,223500,2.0, Townhouse,4
22431,28205,2.0,237000,2.0, Townhouse,4
22432,28205,2.0,420000,3.0, Single Family,0
22433,28205,2.5,271000,2.0, Townhouse,4
22434,28205,2.5,265500,2.0, Townhouse,4
22435,28205,2.5,282500,3.0, Townhouse,4
22436,28205,2.5,265000,2.0, Townhouse,4
22437,28205,2.5,275000,3.0, Townhouse,4
22438,28205,2.5,268000,2.0, Townhouse,4
22439,28273,2.0,193000,4.0, Single Family,0
22440,28273,2.0,210000,5.0, Single Family,0
22441,28273,2.0,200000,5.0, Single Family,0
22442,28273,2.0,165000,3.0, Single Family,0
22443,28278,2.0,269000,4.0, Single Family,0
22444,28278,2.0,260000,5.0, Single Family,0
22445,28278,2.0,230000,4.0, Single Family,0
22446,28273,2.0,162000,3.0, Single Family,0
22447,28273,2.0,182000,3.0, Single Family,0
22448,28273,1.0,145000,3.0, Single Family,0
22449,28273,2.0,175500,3.0, Single Family,0
22450,28217,1.0,113000,3.0, Single Family,0
22451,28273,1.0,164000,3.0, Single Family,0
22452,28273,1.0,194000,4.0, Single Family,0
22453,28278,2.0,162000,3.0, Single Family,0
22454,28278,2.0,190000,3.0, Single Family,0
22455,28278,1.0,160000,3.0, Single Family,0
22456,28278,2.0,205000,3.0, Single Family,0
22457,28278,1.5,178000,3.0, Single Family,0
22458,28278,1.5,190000,3.0, Single Family,0
22459,28278,1.0,180000,3.0, Single Family,0
22460,28278,1.5,203000,3.0, Single Family,0
22461,28215,1.0,177500,3.0, Single Family,0
22462,28215,1.0,155000,3.0, Single Family,0
22463,28078,2.0,350000,4.0, Single Family,0
22464,28078,2.0,330000,4.0, Single Family,0
22465,28078,2.0,278000,4.0, Single Family,0
22466,28078,2.0,277000,3.0, Single Family,0
22467,28078,2.0,340000,5.0, Single Family,0
22468,28215,1.0,120500,3.0, Single Family,0
22469,28215,1.0,118000,3.0, Single Family,0
22470,28277,2.5,190000,2.0, Townhouse,4
22471,28277,2.5,180000,3.0, Townhouse,4
22472,28212,1.5,155000,4.0, Single Family,0
22473,28036,1.0,208000,3.0, Condominium,4
22474,28277,2.0,520000,5.0, Single Family,0
22475,28277,1.5,280000,3.0, Single Family,0
22476,28277,1.0,280000,3.0, Single Family,0
22477,28277,2.0,265500,3.0, Townhouse,4
22478,28277,2.0,245000,3.0, Townhouse,4
22479,28277,2.0,260000,3.0, Townhouse,4
22480,28277,2.0,260000,3.0, Townhouse,4
22481,28277,2.0,276000,3.0, Townhouse,4
22482,28277,2.0,260000,3.0, Townhouse,4
22483,28277,2.0,259000,3.0, Townhouse,4
22484,28277,2.0,230000,3.0, Townhouse,4
22485,28277,2.0,505000,5.0, Single Family,0
22486,28277,2.0,512000,5.0, Single Family,0
22487,28277,2.0,475000,6.0, Single Family,0
22488,28277,2.0,450000,6.0, Single Family,0
22489,28277,2.0,466000,4.0, Single Family,0
22490,28277,2.0,388000,4.0, Single Family,0
22491,28277,2.0,375000,3.0, Single Family,0
22492,28277,2.0,370000,4.0, Single Family,0
22493,28277,2.0,280000,3.0, Single Family,0
22494,28277,2.0,266000,3.0, Single Family,0
22495,28277,2.0,277000,3.0, Single Family,0
22496,28277,2.0,267000,3.0, Single Family,0
22497,28277,2.0,270000,3.0, Single Family,0
22498,28277,2.0,268500,3.0, Single Family,0
22499,28277,2.0,312000,4.0, Single Family,0
22500,28277,2.0,260000,3.0, Single Family,0
22501,28277,2.0,290000,3.0, Single Family,0
22502,28277,1.0,347000,2.0, Single Family,0
22503,28277,2.0,462000,5.0, Single Family,0
22504,28277,2.0,519500,5.0, Single Family,0
22505,28277,2.0,349000,4.0, Single Family,0
22506,28277,2.0,295000,3.0, Single Family,0
22507,28277,2.0,278000,3.0, Single Family,0
22508,28277,2.0,271000,3.0, Single Family,0
22509,28273,2.0,165000,3.0, Townhouse,4
22510,28273,2.0,189500,3.0, Townhouse,4
22511,28078,2.0,266000,3.0, Single Family,0
22512,28078,2.0,190000,3.0, Single Family,0
22513,28078,2.0,199900,4.0, Single Family,0
22514,28078,2.0,172500,3.0, Single Family,0
22515,28078,2.0,188000,3.0, Single Family,0
22516,28078,1.5,183000,3.0, Single Family,0
22517,28209,2.0,259000,3.0, Condominium,4
22518,28269,1.0,161500,3.0, Single Family,0
22519,28269,1.5,189000,3.0, Single Family,0
22520,28227,1.0,90000,3.0, Single Family,3
22521,28212,1.0,110000,3.0, Single Family,0
22522,28212,1.0,100000,3.0, Single Family,0
22523,28277,2.0,495000,4.0, Single Family,0
22524,28227,2.0,393000,4.0, Single Family,3
22525,28273,2.0,153000,3.0, Townhouse,4
22526,28273,2.0,160000,3.0, Townhouse,4
22527,28217,2.0,120000,2.0, Townhouse,4
22528,28217,2.0,130000,2.0, Townhouse,4
22529,28217,2.0,127500,3.0, Townhouse,4
22530,28217,2.0,118500,2.0, Townhouse,4
22531,28217,2.0,120000,2.0, Townhouse,4
22532,28217,2.0,115000,2.0, Townhouse,4
22533,28217,2.0,116000,2.0, Townhouse,4
22534,28217,2.0,131000,2.0, Townhouse,4
22535,28217,2.0,110000,2.0, Townhouse,4
22536,28277,1.5,269000,3.0, Single Family,0
22537,28226,2.5,1244000,4.0, Single Family,0
22538,28226,2.0,1025000,4.0, Single Family,0
22539,28226,2.0,895000,5.0, Single Family,0
22540,28269,2.0,166000,4.0, Single Family,0
22541,28269,1.0,175000,3.0, Single Family,0
22542,28078,2.0,161000,3.0, Single Family,0
22543,28078,2.0,154000,3.0, Single Family,0
22544,28078,2.0,187000,3.0, Single Family,0
22545,28078,2.0,193000,3.0, Single Family,0
22546,28078,2.0,150000,3.0, Single Family,0
22547,28078,2.0,185000,3.0, Single Family,0
22548,28078,2.0,158000,3.0, Single Family,0
22549,28078,2.0,183000,3.0, Single Family,0
22550,28211,2.0,330000,4.0, Single Family,2
22551,28211,1.0,309000,4.0, Single Family,2
22552,28211,1.0,314000,3.0, Single Family,2
22553,28211,1.5,364000,4.0, Single Family,2
22554,28211,2.0,260000,4.0, Single Family,2
22555,28211,2.0,290000,3.0, Single Family,2
22556,28211,1.5,415000,5.0, Single Family,2
22557,28211,1.0,155000,3.0, Single Family,2
22558,28211,1.0,125000,3.0, Single Family,2
22559,28211,2.0,325000,4.0, Single Family,2
22560,28211,2.0,283500,4.0, Single Family,2
22561,28211,2.0,350000,5.0, Single Family,2
22562,28211,2.0,340000,4.0, Single Family,2
22563,28211,2.0,315000,4.0, Single Family,2
22564,28211,1.0,165000,3.0, Single Family,2
22565,28211,2.0,188000,3.0, Single Family,2
22566,28211,2.0,320000,4.0, Single Family,2
22567,28212,1.0,115000,3.0, Single Family,0
22568,28212,1.0,115000,3.0, Single Family,0
22569,28269,2.0,227000,4.0, Single Family,0
22570,28269,2.0,218500,4.0, Single Family,0
22571,28269,2.0,275000,5.0, Single Family,0
22572,28269,2.0,180000,3.0, Single Family,0
22573,28269,2.0,236000,5.0, Single Family,0
22574,28269,2.0,220000,4.0, Single Family,0
22575,28214,2.0,154000,3.0, Single Family,0
22576,28214,2.0,145000,3.0, Single Family,0
22577,28269,2.0,196500,4.0, Single Family,0
22578,28269,2.0,165000,4.0, Single Family,0
22579,28210,2.0,410000,4.0, Single Family,0
22580,28078,1.0,320000,3.0, Single Family,0
22581,28278,2.0,153000,3.0, Single Family,0
22582,28278,2.0,187000,3.0, Single Family,0
22583,28278,2.0,187500,3.0, Single Family,0
22584,28278,1.0,175000,4.0, Single Family,0
22585,28031,1.5,269000,3.0, Single Family,0
22586,28031,1.0,269000,3.0, Single Family,0
22587,28031,2.0,215000,3.0, Single Family,0
22588,28031,2.0,311000,3.0, Single Family,0
22589,28031,2.0,260000,4.0, Single Family,0
22590,28214,2.0,182000,4.0, Single Family,0
22591,28105,2.0,340000,4.0, Single Family,0
22592,28226,2.0,315000,4.0, Single Family,0
22593,28226,1.0,300000,3.0, Single Family,0
22594,28226,2.0,325000,4.0, Single Family,0
22595,28226,1.0,302000,3.0, Single Family,0
22596,28105,1.0,165000,3.0, Single Family,0
22597,28217,2.0,154000,3.0, Single Family,0
22598,28217,2.0,103000,2.0, Townhouse,4
22599,28105,2.0,135000,3.0, Townhouse,4
22600,28105,2.0,126500,3.0, Townhouse,4
22601,28105,2.0,108000,2.0, Townhouse,4
22602,28105,2.0,125000,2.0, Townhouse,4
22603,28105,2.0,102000,2.0, Townhouse,4
22604,28105,2.0,121000,3.0, Townhouse,4
22605,28105,2.0,114000,3.0, Townhouse,4
22606,28105,2.0,130000,3.0, Townhouse,4
22607,28105,2.0,96500,2.0, Townhouse,4
22608,28105,2.0,120000,3.0, Townhouse,4
22609,28105,2.0,131000,3.0, Townhouse,4
22610,28226,2.5,1155000,5.0, Single Family,0
22611,28036,2.0,338000,4.0, Single Family,0
22612,28036,1.0,253000,3.0, Single Family,0
22613,28036,2.0,255000,3.0, Single Family,0
22614,28036,2.0,379000,4.0, Single Family,0
22615,28036,2.0,128000,2.0, Townhouse,4
22616,28036,2.0,150000,2.0, Townhouse,4
22617,28036,2.0,225000,3.0, Townhouse,4
22618,28205,1.0,254500,2.0, Single Family,0
22619,28205,1.5,458000,4.0, Single Family,0
22620,28205,1.0,355000,3.0, Single Family,0
22621,28214,1.0,114000,3.0, Single Family,0
22622,28214,1.0,84000,3.0, Single Family,0
22623,28208,1.0,47222,2.0, Single Family,0
22624,28209,2.0,745000,5.0, Single Family,0
22625,28205,1.0,260000,3.0, Single Family,0
22626,28205,1.0,283000,3.0, Single Family,0
22627,28031,2.0,605000,4.0, Single Family,0
22628,28203,2.0,870000,4.0, Single Family,0
22629,28203,2.0,415000,4.0, Single Family,0
22630,28203,1.5,464000,3.0, Single Family,0
22631,28203,2.0,375000,4.0, Single Family,0
22632,28203,1.0,364000,2.0, Single Family,0
22633,28203,2.0,950000,4.0, Single Family,0
22634,28203,2.0,825000,6.0, Single Family,0
22635,28203,1.5,760000,5.0, Single Family,0
22636,28203,1.5,1100000,5.0, Single Family,0
22637,28203,2.0,760000,4.0, Single Family,0
22638,28203,1.5,360500,4.0, Single Family,0
22639,28203,2.5,1301000,6.0, Single Family,0
22640,28203,2.0,1265000,4.0, Single Family,0
22641,28216,2.0,140000,3.0, Single Family,0
22642,28216,2.0,120000,3.0, Single Family,0
22643,28269,2.0,115000,3.0, Single Family,0
22644,28269,1.0,125000,3.0, Single Family,0
22645,28208,1.5,120000,3.0, Single Family,0
22646,28216,1.0,120000,3.0, Single Family,0
22647,28214,2.0,139000,3.0, Single Family,0
22648,28214,2.0,140000,3.0, Single Family,0
22649,28226,1.0,102000,2.0, Condominium,4
22650,28273,1.5,300000,3.0, Single Family,0
22651,28204,2.0,150000,2.0, Condominium,4
22652,28078,2.0,188500,3.0, Single Family,0
22653,28078,1.0,208000,3.0, Single Family,0
22654,28216,1.0,109000,4.0, Single Family,0
22655,28078,2.5,139000,3.0, Townhouse,4
22656,28078,2.0,164000,3.0, Single Family,0
22657,28078,2.0,210000,3.0, Single Family,0
22658,28078,2.0,150000,2.0, Townhouse,4
22659,28078,2.0,225000,4.0, Single Family,0
22660,28078,2.0,125000,2.0, Townhouse,4
22661,28078,2.0,232000,3.0, Single Family,0
22662,28078,1.0,248000,3.0, Single Family,0
22663,28078,2.0,155000,3.0, Single Family,0
22664,28078,2.0,125000,2.0, Townhouse,4
22665,28078,2.0,125000,3.0, Townhouse,4
22666,28078,2.0,165000,3.0, Single Family,0
22667,28078,1.0,200000,3.0, Single Family,0
22668,28078,2.5,203000,3.0, Single Family,0
22669,28078,2.0,210000,4.0, Single Family,0
22670,28078,2.0,213000,4.0, Single Family,0
22671,28078,2.0,207500,3.0, Townhouse,4
22672,28270,2.0,426000,4.0, Single Family,0
22673,28270,2.0,395000,3.0, Single Family,0
22674,28270,2.0,415000,4.0, Single Family,0
22675,28078,2.0,337000,4.0, Single Family,0
22676,28078,2.0,338000,4.0, Single Family,0
22677,28273,2.0,173000,3.0, Single Family,0
22678,28227,2.0,938000,5.0, Single Family,3
22679,28036,1.0,138000,2.0, Condominium,4
22680,28036,1.0,247000,3.0, Single Family,0
22681,28031,1.0,114000,2.0, Condominium,4
22682,28031,1.0,122000,2.0, Condominium,4
22683,28031,1.0,103000,2.0, Condominium,4
22684,28078,2.0,283000,3.0, Single Family,0
22685,28210,2.0,295000,3.0, Single Family,0
22686,28134,1.0,223000,2.0, Single Family,0
22687,28213,2.0,236500,4.0, Single Family,0
22688,28213,2.0,209000,3.0, Single Family,0
22689,28105,2.0,1075000,5.0, Single Family,0
22690,28278,2.0,540000,4.0, Single Family,0
22691,28278,2.0,474000,5.0, Single Family,0
22692,28278,2.0,470000,4.0, Single Family,0
22693,28278,2.0,465000,4.0, Single Family,0
22694,28278,2.0,335000,4.0, Single Family,0
22695,28278,2.0,413100,4.0, Single Family,0
22696,28278,2.0,410000,4.0, Single Family,0
22697,28278,2.0,445000,4.0, Single Family,0
22698,28278,2.0,400000,4.0, Single Family,0
22699,28278,2.0,348000,5.0, Single Family,0
22700,28278,2.5,395000,4.0, Single Family,0
22701,28278,1.0,350000,3.0, Single Family,0
22702,28278,2.0,350000,5.0, Single Family,0
22703,28278,2.5,362500,5.0, Single Family,0
22704,28278,2.5,355000,4.0, Single Family,0
22705,28278,2.0,450000,5.0, Single Family,0
22706,28278,2.0,342000,4.0, Single Family,0
22707,28031,2.0,539000,3.0, Single Family,0
22708,28278,2.0,900000,4.0, Single Family,0
22709,28278,2.0,825000,5.0, Single Family,0
22710,28278,2.0,970000,4.0, Single Family,0
22711,28216,2.0,195500,5.0, Single Family,0
22712,28216,2.0,164000,3.0, Single Family,0
22713,28278,2.0,265000,3.0, Single Family,0
22714,28208,2.0,96000,4.0, Single Family,0
22715,28212,2.0,144000,3.0, Single Family,0
22716,28212,2.0,140000,4.0, Single Family,0
22717,28269,2.0,104100,3.0, Single Family,0
22718,28036,2.0,1000000,5.0, Single Family,0
22719,28105,1.0,132000,3.0, Single Family,0
22720,28227,1.0,275000,3.0, Single Family,3
22721,28105,2.0,275000,5.0, Single Family,0
22722,28105,2.0,290000,4.0, Single Family,0
22723,28105,2.0,265000,4.0, Single Family,0
22724,28105,2.0,245000,5.0, Single Family,0
22725,28105,2.0,275000,4.0, Single Family,0
22726,28105,2.0,270000,4.0, Single Family,0
22727,28105,2.0,290000,5.0, Single Family,0
22728,28105,2.0,262000,5.0, Single Family,0
22729,28078,1.5,285000,4.0, Single Family,0
22730,28214,1.0,70000,3.0, Single Family,0
22731,28210,2.0,134000,2.0, Townhouse,4
22732,28210,1.0,108000,2.0, Townhouse,4
22733,28227,2.0,179000,3.0, Single Family,3
22734,28227,2.0,128000,3.0, Single Family,3
22735,28227,1.0,139000,3.0, Single Family,3
22736,28227,1.5,134000,3.0, Single Family,3
22737,28227,1.0,109000,3.0, Single Family,3
22738,28227,1.0,106000,3.0, Single Family,3
22739,28227,1.5,125000,2.0, Single Family,3
22740,28269,1.0,169000,3.0, Single Family,0
22741,28269,2.0,245000,3.0, Single Family,0
22742,28269,2.0,210000,3.0, Single Family,0
22743,28277,1.0,209000,3.0, Single Family,0
22744,28277,1.0,200000,3.0, Single Family,0
22745,28277,1.5,234000,3.0, Single Family,0
22746,28270,1.0,154500,3.0, Single Family,0
22747,28215,2.0,200000,3.0, Single Family,0
22748,28215,2.0,238000,3.0, Single Family,0
22749,28215,2.0,220000,3.0, Single Family,0
22750,28202,1.0,180000,1.0, Condominium,1
22751,28202,1.0,178000,2.0, Condominium,1
22752,28202,1.0,155000,1.0, Condominium,1
22753,28202,1.0,190000,2.0, Condominium,1
22754,28202,1.0,195000,2.0, Condominium,1
22755,28217,2.0,215000,4.0, Single Family,0
22756,28078,2.0,219000,3.0, Single Family,0
22757,28078,1.0,290000,4.0, Single Family,0
22758,28078,1.0,194000,3.0, Single Family,0
22759,28226,2.0,1547000,5.0, Single Family,0
22760,28226,1.0,479000,4.0, Single Family,0
22761,28226,2.0,955000,5.0, Single Family,0
22762,28216,2.0,100000,2.0, Townhouse,4
22763,28216,2.0,91500,2.0, Townhouse,4
22764,28214,1.0,125000,3.0, Single Family,0
22765,28213,2.0,114100,2.0, Townhouse,4
22766,28213,2.0,128500,3.0, Townhouse,4
22767,28213,2.0,119000,3.0, Townhouse,4
22768,28078,2.0,195500,3.0, Townhouse,4
22769,28078,2.0,189000,2.0, Townhouse,4
22770,28031,2.0,187000,3.0, Condominium,4
22771,28031,2.0,375000,4.0, Condominium,4
22772,28031,1.5,199500,3.0, Condominium,4
22773,28203,2.0,360000,2.0, Condominium,4
22774,28134,2.0,108000,3.0, Townhouse,4
22775,28204,2.5,220000,3.0, Condominium,4
22776,28202,1.0,288000,1.0, Condominium,1
22777,28202,1.0,275000,1.0, Condominium,1
22778,28202,1.0,248000,1.0, Condominium,1
22779,28202,1.0,265000,1.0, Condominium,1
22780,28227,1.0,190000,2.0, Townhouse,3
22781,28134,2.0,225000,3.0, Single Family,0
22782,28134,2.0,215000,4.0, Single Family,0
22783,28134,2.0,244000,3.0, Single Family,0
22784,28209,1.0,375000,2.0, Condominium,4
22785,28209,1.0,235000,1.0, Condominium,4
22786,28078,1.5,220000,3.0, Single Family,0
22787,28215,1.0,164000,3.0, Single Family,0
22788,28227,1.0,142500,2.0, Condominium,3
22789,28227,1.0,150000,2.0, Condominium,3
22790,28227,1.0,135000,2.0, Condominium,3
22791,28203,1.0,318000,2.0, Townhouse,4
22792,28078,1.0,165000,2.0, Single Family,0
22793,28078,1.0,140000,2.0, Single Family,0
22794,28210,1.5,587000,4.0, Single Family,0
22795,28210,2.0,507000,4.0, Single Family,0
22796,28210,2.5,535000,4.0, Single Family,0
22797,28210,2.0,474000,4.0, Single Family,0
22798,28226,2.0,88000,2.0, Townhouse,4
22799,28226,2.0,142000,2.0, Townhouse,4
22800,28269,1.0,116000,3.0, Single Family,0
22801,28216,1.0,132500,3.0, Single Family,0
22802,28216,2.0,152500,3.0, Single Family,0
22803,28216,2.0,144000,3.0, Single Family,0
22804,28216,2.0,100000,3.0, Townhouse,4
22805,28211,1.0,144000,2.0, Condominium,2
22806,28211,2.0,163000,2.0, Condominium,2
22807,28269,2.0,127500,3.0, Single Family,0
22808,28211,1.0,545000,3.0, Single Family,2
22809,28211,1.0,119000,3.0, Condominium,2
22810,28203,1.0,62000,2.0, Single Family,0
22811,28208,2.0,142000,3.0, Single Family,0
22812,28208,2.0,185000,3.0, Single Family,0
22813,28226,1.5,725000,3.0, Single Family,0
22814,28269,1.0,173000,3.0, Single Family,0
22815,28269,1.0,160000,3.0, Single Family,0
22816,28269,1.0,178000,3.0, Single Family,0
22817,28273,2.0,194000,3.0, Single Family,0
22818,28273,2.0,161000,3.0, Single Family,0
22819,28215,2.0,152500,3.0, Single Family,0
22820,28215,1.0,117000,3.0, Single Family,0
22821,28215,2.0,124500,3.0, Single Family,0
22822,28215,1.0,129500,3.0, Single Family,0
22823,28273,1.0,120000,3.0, Single Family,0
22824,28273,1.0,152000,3.0, Single Family,0
22825,28212,2.0,198000,4.0, Single Family,0
22826,28212,2.0,218000,3.0, Single Family,0
22827,28212,2.0,215000,3.0, Single Family,0
22828,28031,1.0,115000,3.0, Townhouse,4
22829,28277,2.0,145000,2.0, Townhouse,4
22830,28277,2.0,171000,2.0, Townhouse,4
22831,28213,2.0,187000,4.0, Single Family,0
22832,28213,2.0,194000,4.0, Single Family,0
22833,28213,1.5,100000,3.0, Townhouse,4
22834,28213,2.0,119000,3.0, Townhouse,4
22835,28213,2.0,107000,2.0, Townhouse,4
22836,28213,2.0,79000,2.0, Townhouse,4
22837,28213,2.0,85000,2.0, Townhouse,4
22838,28213,2.0,108000,2.0, Townhouse,4
22839,28213,1.5,117000,3.0, Townhouse,4
22840,28213,1.5,100500,3.0, Townhouse,4
22841,28227,1.0,115000,3.0, Single Family,3
22842,28227,1.0,147000,3.0, Single Family,3
22843,28212,2.0,52000,3.0, Townhouse,4
22844,28277,2.0,630000,5.0, Single Family,0
22845,28277,2.0,488000,4.0, Single Family,0
22846,28277,2.0,573000,4.0, Single Family,0
22847,28215,1.0,75000,3.0, Single Family,0
22848,28226,2.0,925000,4.0, Single Family,0
22849,28078,2.0,175000,2.0, Townhouse,4
