,Site_Zip,Stories,Sale_Price,Bedrooms,Housing_Type,Cluster
136,28215,2.0,242000,3.0, Single Family,0
137,28215,2.0,255000,3.0, Single Family,0
138,28205,1.5,365000,3.0, Single Family,0
139,28226,2.0,415000,4.0, Townhouse,4
140,28214,1.0,125000,3.0, Single Family,0
141,28205,2.0,305000,2.0, Single Family,0
142,28036,2.0,875000,4.0, Single Family,0
143,28277,2.0,467500,5.0, Single Family,0
144,28213,2.0,274000,3.0, Single Family,0
145,28031,2.0,246000,3.0, Single Family,0
146,28031,2.0,298000,4.0, Single Family,0
147,28031,2.0,269000,3.0, Single Family,0
148,28105,1.0,205000,3.0, Single Family,0
149,28273,2.0,174000,3.0, Townhouse,4
150,28273,2.0,185000,3.0, Townhouse,4
151,28273,2.0,150000,2.0, Townhouse,4
152,28273,2.0,135000,3.0, Townhouse,4
153,28273,2.0,180000,2.0, Townhouse,4
154,28273,2.0,179000,2.0, Townhouse,4
155,28078,2.0,354000,4.0, Single Family,0
156,28078,2.0,375000,4.0, Single Family,0
157,28269,2.0,307000,3.0, Single Family,0
158,28270,2.0,735000,4.0, Single Family,0
159,28210,2.0,350000,3.0, Single Family,0
160,28210,2.0,440000,4.0, Single Family,0
161,28210,2.0,545000,4.0, Single Family,0
162,28212,2.0,205000,3.0, Single Family,0
163,28226,2.0,350000,4.0, Single Family,0
164,28216,1.0,110000,3.0, Single Family,0
165,28216,1.0,150000,3.0, Single Family,0
166,28134,2.0,314500,4.0, Single Family,0
167,28277,2.0,372500,5.0, Single Family,0
168,28226,2.0,157500,3.0, Condominium,4
169,28226,2.0,155000,2.0, Condominium,4
170,28226,2.0,725000,4.0, Single Family,0
171,28226,2.0,151500,2.0, Townhouse,4
172,28226,2.0,465000,3.0, Townhouse,4
173,28226,1.5,496000,3.0, Townhouse,4
174,28134,2.0,181500,2.0, Townhouse,4
175,28217,2.0,125000,2.0, Condominium,4
176,28078,2.5,225500,2.0, Single Family,0
177,28078,1.0,355000,3.0, Single Family,0
178,28216,1.0,187000,3.0, Single Family,0
179,28226,1.5,380000,3.0, Single Family,0
180,28226,1.0,360500,3.0, Single Family,0
181,28078,2.0,520000,4.0, Single Family,0
182,28031,2.0,786000,4.0, Single Family,0
183,28031,2.0,978000,4.0, Single Family,0
184,28214,1.5,217000,3.0, Single Family,0
185,28214,2.0,200000,3.0, Single Family,0
186,28215,1.0,185000,3.0, Single Family,0
187,28209,1.0,1015000,3.0, Single Family,0
188,28226,1.0,355000,3.0, Single Family,0
189,28078,2.0,276000,4.0, Single Family,0
190,28078,2.0,310000,4.0, Single Family,0
191,28212,1.0,210000,3.0, Single Family,0
192,28212,1.0,242000,3.0, Single Family,0
193,28078,1.0,300000,3.0, Single Family,0
194,28226,2.0,699000,5.0, Single Family,0
195,28205,1.0,367500,3.0, Single Family,0
196,28278,2.0,555000,4.0, Single Family,0
197,28213,2.0,155000,3.0, Single Family,0
198,28207,1.0,260000,2.0, Condominium,4
199,28278,2.0,200000,2.0, Townhouse,4
200,28216,2.0,264000,3.0, Single Family,0
201,28269,2.0,391000,4.0, Single Family,0
202,28269,2.0,355500,4.0, Single Family,0
203,27713,2.0,270000,3.0, Single Family,0
204,28105,2.0,339000,4.0, Single Family,0
205,28227,1.0,162000,3.0, Single Family,3
206,28211,1.0,143000,2.0, Condominium,2
207,28211,1.0,165000,2.0, Condominium,2
208,28215,2.0,177000,3.0, Single Family,0
209,28215,2.0,199000,3.0, Single Family,0
210,28216,1.0,232000,4.0, Single Family,0
211,28217,1.0,240000,3.0, Single Family,0
212,28209,2.0,770000,4.0, Single Family,0
213,28262,1.0,317500,4.0, Single Family,0
